"Time differences (ps)"	"Counts per bin"
-15000	38
-14990	38
-14980	40
-14970	31
-14960	34
-14950	34
-14940	37
-14930	34
-14920	36
-14910	32
-14900	30
-14890	30
-14880	43
-14870	32
-14860	37
-14850	29
-14840	36
-14830	35
-14820	33
-14810	42
-14800	39
-14790	33
-14780	42
-14770	30
-14760	34
-14750	44
-14740	39
-14730	40
-14720	36
-14710	38
-14700	31
-14690	33
-14680	42
-14670	25
-14660	37
-14650	34
-14640	37
-14630	38
-14620	26
-14610	25
-14600	35
-14590	35
-14580	27
-14570	42
-14560	33
-14550	40
-14540	31
-14530	25
-14520	27
-14510	36
-14500	28
-14490	27
-14480	32
-14470	35
-14460	31
-14450	34
-14440	21
-14430	19
-14420	15
-14410	33
-14400	27
-14390	25
-14380	23
-14370	23
-14360	27
-14350	27
-14340	31
-14330	18
-14320	24
-14310	35
-14300	32
-14290	29
-14280	29
-14270	18
-14260	35
-14250	30
-14240	26
-14230	32
-14220	23
-14210	41
-14200	22
-14190	33
-14180	29
-14170	25
-14160	32
-14150	15
-14140	32
-14130	27
-14120	29
-14110	26
-14100	32
-14090	25
-14080	41
-14070	22
-14060	27
-14050	24
-14040	32
-14030	23
-14020	17
-14010	33
-14000	33
-13990	23
-13980	19
-13970	27
-13960	24
-13950	25
-13940	31
-13930	25
-13920	25
-13910	27
-13900	31
-13890	27
-13880	18
-13870	26
-13860	19
-13850	21
-13840	31
-13830	32
-13820	21
-13810	23
-13800	29
-13790	33
-13780	25
-13770	22
-13760	26
-13750	25
-13740	28
-13730	21
-13720	25
-13710	19
-13700	28
-13690	26
-13680	35
-13670	19
-13660	23
-13650	19
-13640	27
-13630	25
-13620	20
-13610	30
-13600	40
-13590	19
-13580	27
-13570	28
-13560	31
-13550	26
-13540	23
-13530	25
-13520	16
-13510	26
-13500	21
-13490	20
-13480	23
-13470	23
-13460	30
-13450	13
-13440	25
-13430	21
-13420	18
-13410	15
-13400	28
-13390	22
-13380	19
-13370	22
-13360	25
-13350	20
-13340	26
-13330	24
-13320	27
-13310	16
-13300	23
-13290	19
-13280	29
-13270	23
-13260	24
-13250	16
-13240	22
-13230	20
-13220	17
-13210	21
-13200	17
-13190	16
-13180	27
-13170	24
-13160	21
-13150	26
-13140	26
-13130	24
-13120	25
-13110	19
-13100	28
-13090	24
-13080	24
-13070	25
-13060	23
-13050	26
-13040	21
-13030	17
-13020	16
-13010	21
-13000	27
-12990	21
-12980	19
-12970	18
-12960	14
-12950	16
-12940	28
-12930	30
-12920	18
-12910	22
-12900	21
-12890	19
-12880	23
-12870	17
-12860	22
-12850	24
-12840	24
-12830	24
-12820	20
-12810	23
-12800	22
-12790	22
-12780	15
-12770	14
-12760	19
-12750	22
-12740	19
-12730	23
-12720	23
-12710	20
-12700	24
-12690	18
-12680	25
-12670	17
-12660	24
-12650	18
-12640	22
-12630	20
-12620	20
-12610	21
-12600	14
-12590	22
-12580	21
-12570	19
-12560	20
-12550	25
-12540	24
-12530	17
-12520	22
-12510	31
-12500	13
-12490	18
-12480	13
-12470	18
-12460	17
-12450	22
-12440	16
-12430	22
-12420	20
-12410	22
-12400	19
-12390	24
-12380	18
-12370	23
-12360	19
-12350	33
-12340	24
-12330	17
-12320	23
-12310	26
-12300	22
-12290	13
-12280	33
-12270	20
-12260	9
-12250	22
-12240	26
-12230	21
-12220	13
-12210	14
-12200	26
-12190	16
-12180	20
-12170	18
-12160	16
-12150	16
-12140	21
-12130	20
-12120	19
-12110	23
-12100	18
-12090	17
-12080	25
-12070	21
-12060	24
-12050	24
-12040	14
-12030	21
-12020	23
-12010	24
-12000	28
-11990	18
-11980	30
-11970	14
-11960	23
-11950	28
-11940	18
-11930	26
-11920	16
-11910	23
-11900	28
-11890	14
-11880	22
-11870	22
-11860	19
-11850	25
-11840	26
-11830	16
-11820	18
-11810	23
-11800	26
-11790	24
-11780	18
-11770	26
-11760	28
-11750	22
-11740	22
-11730	16
-11720	19
-11710	26
-11700	21
-11690	22
-11680	21
-11670	15
-11660	24
-11650	25
-11640	21
-11630	24
-11620	31
-11610	41
-11600	29
-11590	30
-11580	24
-11570	29
-11560	43
-11550	44
-11540	47
-11530	42
-11520	34
-11510	42
-11500	72
-11490	69
-11480	73
-11470	94
-11460	103
-11450	116
-11440	132
-11430	152
-11420	124
-11410	174
-11400	163
-11390	173
-11380	226
-11370	186
-11360	204
-11350	191
-11340	184
-11330	186
-11320	165
-11310	195
-11300	167
-11290	171
-11280	175
-11270	201
-11260	202
-11250	229
-11240	257
-11230	311
-11220	379
-11210	469
-11200	558
-11190	660
-11180	829
-11170	995
-11160	1132
-11150	1324
-11140	1557
-11130	1716
-11120	2015
-11110	2004
-11100	2268
-11090	2495
-11080	2528
-11070	2803
-11060	2937
-11050	3115
-11040	3085
-11030	3141
-11020	3319
-11010	3367
-11000	3202
-10990	3240
-10980	3182
-10970	3102
-10960	2984
-10950	2866
-10940	2598
-10930	2445
-10920	2308
-10910	2144
-10900	1932
-10890	1738
-10880	1535
-10870	1332
-10860	1183
-10850	1045
-10840	882
-10830	802
-10820	679
-10810	579
-10800	517
-10790	404
-10780	390
-10770	324
-10760	301
-10750	289
-10740	234
-10730	217
-10720	183
-10710	163
-10700	128
-10690	145
-10680	112
-10670	120
-10660	146
-10650	130
-10640	98
-10630	114
-10620	97
-10610	94
-10600	115
-10590	73
-10580	92
-10570	77
-10560	91
-10550	101
-10540	87
-10530	64
-10520	85
-10510	66
-10500	70
-10490	70
-10480	70
-10470	77
-10460	44
-10450	64
-10440	66
-10430	46
-10420	61
-10410	52
-10400	44
-10390	48
-10380	59
-10370	43
-10360	52
-10350	55
-10340	59
-10330	46
-10320	54
-10310	51
-10300	57
-10290	45
-10280	55
-10270	53
-10260	47
-10250	47
-10240	47
-10230	57
-10220	47
-10210	67
-10200	48
-10190	58
-10180	61
-10170	68
-10160	55
-10150	67
-10140	56
-10130	51
-10120	57
-10110	49
-10100	57
-10090	53
-10080	59
-10070	73
-10060	60
-10050	52
-10040	59
-10030	59
-10020	68
-10010	57
-10000	61
-9990	52
-9980	38
-9970	58
-9960	52
-9950	50
-9940	51
-9930	50
-9920	42
-9910	50
-9900	50
-9890	49
-9880	49
-9870	55
-9860	54
-9850	50
-9840	34
-9830	45
-9820	51
-9810	48
-9800	40
-9790	60
-9780	48
-9770	52
-9760	59
-9750	49
-9740	45
-9730	46
-9720	52
-9710	45
-9700	60
-9690	47
-9680	56
-9670	64
-9660	63
-9650	67
-9640	58
-9630	47
-9620	75
-9610	51
-9600	71
-9590	48
-9580	50
-9570	58
-9560	61
-9550	58
-9540	52
-9530	61
-9520	60
-9510	50
