"Time (ps)"	"Counts per bin"
0	3170
16	3340
32	3288
48	3395
64	3248
80	3352
96	3308
112	3312
128	3258
144	3169
160	3244
176	3112
192	3163
208	3185
224	3299
240	3130
256	3214
272	3180
288	3245
304	3080
320	3123
336	3113
352	3179
368	3089
384	3042
400	3078
416	3108
432	3022
448	2984
464	2961
480	2958
496	2923
512	2917
528	2980
544	3006
560	2903
576	2882
592	2934
608	2836
624	2899
640	2862
656	2841
672	2780
688	2806
704	2770
720	2745
736	2804
752	2738
768	2703
784	2758
800	2717
816	2625
832	2643
848	2549
864	2676
880	2582
896	2550
912	2544
928	2544
944	2601
960	2560
976	2529
992	2517
1008	2533
1024	2378
1040	2415
1056	2415
1072	2471
1088	2430
1104	2421
1120	2439
1136	2363
1152	2434
1168	2375
1184	2358
1200	2304
1216	2274
1232	2235
1248	2262
1264	2271
1280	2197
1296	2281
1312	2208
1328	2259
1344	2257
1360	2164
1376	2170
1392	2161
1408	2058
1424	2132
1440	2155
1456	2064
1472	2082
1488	2090
1504	2075
1520	2049
1536	2048
1552	1972
1568	2034
1584	2064
1600	1950
1616	2024
1632	2053
1648	1919
1664	2002
1680	1901
1696	1968
1712	1906
1728	1889
1744	1897
1760	1884
1776	1871
1792	1842
1808	1882
1824	1855
1840	1756
1856	1757
1872	1778
1888	1778
1904	1792
1920	1700
1936	1785
1952	1759
1968	1628
1984	1655
2000	1686
2016	1624
2032	1695
2048	1647
2064	1684
2080	1632
2096	1638
2112	1611
2128	1564
2144	1566
2160	1582
2176	1494
2192	1534
2208	1583
2224	1533
2240	1485
2256	1462
2272	1455
2288	1468
2304	1407
2320	1452
2336	1472
2352	1375
2368	1419
2384	1362
2400	1412
2416	1387
2432	1331
2448	1296
2464	1332
2480	1346
2496	1335
2512	1295
2528	1264
2544	1267
2560	1212
2576	1241
2592	1278
2608	1164
2624	1228
2640	1180
2656	1131
2672	1113
2688	1191
2704	1154
2720	1148
2736	1142
2752	1097
2768	1115
2784	1090
2800	1052
2816	1096
2832	1067
2848	1062
2864	1023
2880	1051
2896	976
2912	1059
2928	965
2944	937
2960	965
2976	951
2992	953
3008	955
3024	940
3040	926
3056	956
3072	933
3088	873
3104	844
3120	883
3136	855
3152	859
3168	842
3184	825
3200	806
3216	856
3232	845
3248	829
3264	822
3280	762
3296	763
3312	761
3328	790
3344	799
3360	713
3376	704
3392	756
3408	701
3424	698
3440	749
3456	684
3472	677
3488	662
3504	611
3520	674
3536	688
3552	666
3568	646
3584	644
3600	610
3616	631
3632	642
3648	588
3664	620
3680	614
3696	579
3712	629
3728	620
3744	586
3760	608
3776	573
3792	541
3808	570
3824	513
3840	550
3856	561
3872	558
3888	531
3904	533
3920	499
3936	494
3952	515
3968	506
3984	530
4000	491
4016	480
4032	462
4048	530
4064	436
4080	501
4096	448
4112	471
4128	471
4144	471
4160	452
4176	411
4192	438
4208	435
4224	455
4240	430
4256	419
4272	397
4288	368
4304	449
4320	437
4336	432
4352	378
4368	395
4384	384
4400	385
4416	388
4432	399
4448	372
4464	370
4480	346
4496	379
4512	364
4528	380
4544	370
4560	352
4576	393
4592	350
4608	335
4624	362
4640	331
4656	336
4672	310
4688	334
4704	328
4720	344
4736	312
4752	327
4768	322
4784	323
4800	339
4816	317
4832	338
4848	348
4864	330
4880	331
4896	311
4912	284
4928	300
4944	316
4960	334
4976	315
4992	315
5008	288
5024	303
5040	322
5056	322
5072	286
5088	284
5104	280
5120	304
5136	300
5152	295
5168	313
5184	299
5200	247
5216	274
5232	264
5248	290
5264	317
5280	282
5296	283
5312	274
5328	279
5344	250
5360	287
5376	278
5392	282
5408	323
5424	267
5440	308
5456	278
5472	297
5488	265
5504	320
5520	283
5536	303
5552	289
5568	297
5584	291
5600	243
5616	291
5632	259
5648	284
5664	304
5680	312
5696	299
5712	293
5728	288
5744	278
5760	283
5776	290
5792	280
5808	288
5824	312
5840	317
5856	296
5872	283
5888	311
5904	324
5920	314
5936	302
5952	366
5968	374
5984	401
6000	460
6016	537
6032	533
6048	622
6064	629
6080	724
6096	712
6112	791
6128	887
6144	929
6160	1000
6176	1020
6192	991
6208	959
6224	928
6240	916
6256	886
6272	915
6288	1041
6304	1370
6320	2037
6336	3739
6352	7431
6368	15393
6384	30043
6400	55522
6416	93316
6432	141096
6448	189618
6464	230024
6480	249849
6496	247002
6512	220688
6528	183105
6544	140469
6560	101634
6576	69749
6592	46411
6608	29794
6624	19147
6640	12133
6656	7798
6672	5079
6688	3444
6704	2363
6720	1709
6736	1416
6752	1208
6768	1124
6784	982
6800	896
6816	817
6832	791
6848	704
6864	680
6880	658
6896	629
6912	588
6928	561
6944	597
6960	555
6976	551
6992	578
7008	532
7024	603
7040	554
7056	567
7072	595
7088	638
7104	620
7120	579
7136	598
7152	581
7168	611
7184	599
7200	578
7216	632
7232	621
7248	642
7264	670
7280	650
7296	629
7312	668
7328	699
7344	681
7360	688
7376	655
7392	701
7408	696
7424	715
7440	741
7456	764
7472	756
7488	776
7504	817
7520	754
7536	716
7552	796
7568	762
7584	802
7600	770
7616	802
7632	804
7648	838
7664	826
7680	814
7696	880
7712	853
7728	889
7744	895
7760	918
7776	892
7792	907
7808	892
7824	928
7840	929
7856	933
7872	938
7888	956
7904	962
7920	994
7936	930
7952	917
7968	954
7984	1033
8000	986
8016	969
8032	1015
8048	1020
8064	1063
8080	1109
8096	1045
8112	1099
8128	1069
8144	1122
8160	1095
8176	1109
8192	1135
8208	1087
8224	1172
8240	1247
8256	1208
8272	1204
8288	1250
8304	1204
8320	1254
8336	1285
8352	1302
8368	1397
8384	1310
8400	1276
8416	1303
8432	1263
8448	1317
8464	1356
8480	1316
8496	1375
8512	1410
8528	1358
8544	1408
8560	1444
8576	1389
8592	1448
8608	1457
8624	1454
8640	1459
8656	1542
8672	1470
8688	1502
8704	1491
8720	1535
8736	1556
8752	1533
8768	1599
8784	1629
8800	1597
8816	1604
8832	1598
8848	1571
8864	1657
8880	1752
8896	1665
8912	1698
8928	1710
8944	1668
8960	1839
8976	1710
8992	1834
9008	1813
9024	1799
9040	1877
9056	1823
9072	1858
9088	1870
9104	1903
9120	1981
9136	1926
9152	1894
9168	1880
9184	1933
9200	2008
9216	2064
9232	1950
9248	2041
9264	1937
9280	2072
9296	2127
9312	2091
9328	2175
9344	2059
9360	2101
9376	2250
9392	2306
9408	2234
9424	2229
9440	2258
9456	2200
9472	2239
9488	2306
9504	2298
9520	2304
9536	2269
9552	2335
9568	2346
9584	2301
9600	2290
9616	2337
9632	2383
9648	2322
9664	2413
9680	2472
9696	2434
9712	2422
9728	2517
9744	2465
9760	2518
9776	2575
9792	2455
9808	2471
9824	2497
9840	2541
9856	2611
9872	2611
9888	2698
9904	2633
9920	2708
9936	2570
9952	2612
9968	2713
9984	2669
10000	2636
10016	2750
10032	2652
10048	2849
10064	2657
10080	2681
10096	2775
10112	2741
10128	2722
10144	2808
10160	2763
10176	2862
10192	2872
10208	2860
10224	2859
10240	2763
10256	2939
10272	2966
10288	2913
10304	2854
10320	2940
10336	3068
10352	3027
10368	3037
10384	3006
10400	3148
10416	3007
10432	3060
10448	3004
10464	2946
10480	3089
10496	3125
10512	3076
10528	3142
10544	3010
10560	3152
10576	3151
10592	3097
10608	3135
10624	3168
10640	3170
10656	3175
10672	3243
10688	3149
10704	3289
10720	3284
10736	3276
10752	3297
10768	3213
10784	3372
10800	3237
10816	3383
10832	3329
10848	3218
10864	3323
10880	3359
10896	3343
10912	3318
10928	3478
10944	3355
10960	3449
10976	3441
10992	3383
11008	3463
11024	3529
11040	3517
11056	3352
11072	3459
11088	3542
11104	3517
11120	3496
11136	3467
11152	3529
11168	3486
11184	3533
11200	3449
11216	3619
11232	3517
11248	3572
11264	3516
11280	3608
11296	3599
11312	3577
11328	3578
11344	3551
11360	3559
11376	3620
11392	3576
11408	3547
11424	3516
11440	3520
11456	3604
11472	3519
11488	3651
11504	3586
11520	3613
11536	3594
11552	3642
11568	3672
11584	3616
11600	3626
11616	3613
11632	3572
11648	3576
11664	3519
11680	3541
11696	3520
11712	3522
11728	3684
11744	3608
11760	3713
11776	3620
11792	3615
11808	3621
11824	3681
11840	3639
11856	3658
11872	3518
11888	3584
11904	3635
11920	3554
11936	3679
11952	3576
11968	3455
11984	3532
12000	3550
12016	3655
12032	3445
12048	3563
12064	3638
12080	3530
12096	3527
12112	3477
12128	3503
12144	3508
12160	3416
12176	3485
12192	3493
12208	3402
12224	3404
12240	3548
12256	3530
12272	3471
12288	3525
12304	3423
12320	3416
12336	3589
12352	3375
12368	3474
12384	3404
12400	3450
12416	3328
12432	3446
12448	3428
12464	3344
12480	3347
12496	3337
12512	3380
12528	3373
12544	3268
12560	3280
12576	3322
12592	3286
12608	3273
12624	3338
12640	3171
12656	3200
12672	3231
12688	3315
12704	3245
12720	3210
12736	3197
12752	3141
12768	3156
12784	3064
12800	3085
12816	3285
12832	2978
12848	3159
12864	3113
12880	3018
12896	3066
12912	3113
12928	2980
12944	3020
12960	3010
12976	3010
12992	2932
13008	2892
13024	2830
13040	2935
13056	2933
13072	2986
13088	2904
13104	2853
13120	3012
13136	2829
13152	2728
13168	2895
13184	2803
13200	2815
13216	2740
13232	2754
13248	2717
13264	2786
13280	2774
13296	2647
13312	2628
13328	2611
13344	2633
13360	2579
13376	2608
13392	2649
13408	2569
13424	2556
13440	2606
13456	2515
13472	2644
13488	2532
13504	2569
13520	2556
13536	2544
13552	2364
13568	2409
13584	2434
13600	2469
13616	2409
13632	2404
13648	2375
13664	2367
13680	2366
13696	2282
13712	2224
13728	2268
13744	2282
13760	2267
13776	2350
13792	2203
13808	2192
13824	2157
13840	2176
13856	2225
13872	2111
13888	2210
13904	2205
13920	2126
13936	2125
13952	2117
13968	2008
13984	2067
14000	2074
14016	2067
14032	2069
14048	1978
14064	2044
14080	2020
14096	1972
14112	1989
14128	1954
14144	1900
14160	1966
14176	1969
14192	2039
14208	1884
14224	1854
14240	1892
14256	1890
14272	1896
14288	1978
14304	1831
14320	1831
14336	1885
14352	1751
14368	1746
14384	1783
14400	1789
14416	1672
14432	1682
14448	1663
14464	1787
14480	1775
14496	1707
14512	1686
14528	1634
14544	1633
14560	1638
14576	1588
14592	1569
14608	1584
14624	1606
14640	1510
14656	1563
14672	1564
14688	1592
14704	1539
14720	1515
14736	1508
14752	1495
14768	1395
14784	1503
14800	1472
14816	1455
14832	1412
14848	1461
14864	1366
14880	1409
14896	1387
14912	1362
14928	1357
14944	1386
14960	1303
14976	1326
14992	1298
15008	1306
15024	1211
15040	1196
15056	1240
15072	1206
15088	1202
15104	1126
15120	1235
15136	1118
15152	1169
15168	1199
15184	1130
15200	1169
15216	1155
15232	1117
15248	1115
15264	1103
15280	1114
15296	1120
15312	1041
15328	1089
15344	1041
15360	1025
15376	1068
15392	979
15408	1042
15424	1001
15440	967
15456	936
15472	1013
15488	915
15504	892
15520	902
15536	934
15552	882
15568	898
15584	898
15600	921
15616	888
15632	872
15648	853
15664	792
15680	848
15696	831
15712	815
15728	805
15744	804
15760	766
15776	737
15792	765
15808	762
15824	793
15840	713
15856	721
15872	721
15888	727
15904	790
15920	761
15936	698
15952	643
15968	709
15984	689
16000	641
16016	660
16032	680
16048	626
16064	657
16080	621
16096	628
16112	649
16128	615
16144	604
16160	631
16176	596
16192	606
16208	593
16224	611
16240	588
16256	597
16272	580
16288	533
16304	497
16320	570
16336	555
16352	540
16368	499
16384	537
16400	490
16416	492
16432	496
16448	530
16464	483
16480	458
16496	514
16512	491
16528	473
16544	415
16560	477
16576	469
16592	484
16608	446
16624	457
16640	436
16656	444
16672	432
16688	471
16704	440
16720	437
16736	422
16752	434
16768	449
16784	419
16800	425
16816	368
16832	395
16848	382
16864	379
16880	420
16896	408
16912	400
16928	396
16944	336
16960	338
16976	367
16992	406
17008	355
17024	352
17040	368
17056	368
17072	365
17088	361
17104	374
17120	350
17136	357
17152	357
17168	360
17184	329
17200	308
17216	326
17232	332
17248	339
17264	373
17280	341
17296	336
17312	352
17328	330
17344	320
17360	302
17376	343
17392	332
17408	337
17424	312
17440	316
17456	315
17472	276
17488	286
17504	315
17520	346
17536	312
17552	336
17568	294
17584	318
17600	288
17616	264
17632	311
17648	287
17664	272
17680	324
17696	300
17712	280
17728	290
17744	314
17760	251
17776	280
17792	294
17808	286
17824	263
17840	295
17856	280
17872	288
17888	323
17904	296
17920	273
17936	291
17952	291
17968	313
17984	281
18000	297
18016	285
18032	284
18048	273
18064	283
18080	301
18096	289
18112	296
18128	274
18144	259
18160	289
18176	281
18192	285
18208	282
18224	308
18240	264
18256	257
18272	273
18288	289
18304	274
18320	273
18336	293
18352	321
18368	279
18384	272
18400	301
18416	311
18432	343
18448	335
18464	350
18480	383
18496	458
18512	501
18528	550
18544	651
18560	714
18576	740
18592	747
18608	819
18624	874
18640	944
18656	994
18672	1043
18688	1024
18704	1028
18720	965
18736	919
18752	856
18768	934
18784	1004
18800	1342
18816	1828
18832	3220
18848	6344
18864	12873
18880	25519
18896	48238
18912	83042
18928	128489
18944	177706
18960	221618
18976	247902
18992	249471
19008	228606
19024	193136
19040	151098
19056	109926
19072	76397
19088	51064
19104	33097
19120	21363
19136	13485
19152	8579
19168	5718
19184	3675
19200	2633
19216	1873
19232	1455
19248	1247
19264	1011
19280	1045
19296	905
19312	848
19328	799
19344	782
19360	704
19376	613
19392	606
19408	574
19424	630
19440	570
19456	575
19472	601
19488	574
19504	596
19520	570
19536	577
19552	558
19568	562
19584	609
19600	598
19616	577
19632	617
19648	583
19664	601
19680	572
19696	652
19712	592
19728	679
19744	624
19760	615
19776	631
19792	665
19808	675
19824	653
19840	689
19856	708
19872	683
19888	695
19904	709
19920	760
19936	718
19952	741
19968	754
19984	737
20000	833
20016	849
20032	771
20048	813
20064	805
20080	829
20096	787
20112	792
20128	850
20144	837
20160	812
20176	841
20192	876
20208	823
20224	876
20240	884
20256	859
20272	892
20288	918
20304	903
20320	904
20336	924
20352	951
20368	957
20384	931
20400	987
20416	955
20432	991
20448	1030
20464	941
20480	965
20496	987
20512	1036
20528	1067
20544	1019
20560	1079
20576	1090
20592	1082
20608	1116
20624	1149
20640	1094
20656	1102
20672	1121
20688	1189
20704	1146
20720	1171
20736	1165
20752	1262
20768	1240
20784	1177
20800	1199
20816	1217
20832	1264
20848	1283
20864	1233
20880	1323
20896	1273
20912	1354
20928	1376
20944	1303
20960	1329
20976	1364
20992	1361
21008	1358
21024	1381
21040	1397
21056	1413
21072	1450
21088	1464
21104	1492
21120	1529
21136	1500
21152	1532
21168	1501
21184	1591
21200	1540
21216	1585
21232	1531
21248	1570
21264	1577
21280	1542
21296	1631
21312	1604
21328	1650
21344	1700
21360	1669
21376	1691
21392	1701
21408	1709
21424	1748
21440	1700
21456	1770
21472	1770
21488	1750
21504	1777
21520	1760
21536	1879
21552	1821
21568	1834
21584	1934
21600	1864
21616	1896
21632	1877
21648	1880
21664	1978
21680	1889
21696	2006
21712	1954
21728	2002
21744	2029
21760	2046
21776	1988
21792	2049
21808	2115
21824	2048
21840	2184
21856	2156
21872	2094
21888	2145
21904	2327
21920	2227
21936	2189
21952	2428
21968	2226
21984	2231
22000	2240
22016	2258
22032	2236
22048	2251
22064	2321
22080	2288
22096	2322
22112	2333
22128	2261
22144	2394
22160	2301
22176	2446
22192	2456
22208	2427
22224	2480
22240	2512
22256	2598
22272	2487
22288	2497
22304	2466
22320	2555
22336	2564
22352	2549
22368	2625
22384	2621
22400	2534
22416	2530
22432	2700
22448	2638
22464	2642
22480	2685
22496	2761
22512	2684
22528	2736
22544	2644
22560	2719
22576	2887
22592	2770
22608	2741
22624	2639
22640	2839
22656	2913
22672	2828
22688	2824
22704	2871
22720	2846
22736	2987
22752	2920
22768	2942
22784	2970
22800	3005
22816	2993
22832	3052
22848	2987
22864	2981
22880	2988
22896	3113
22912	3033
22928	3151
22944	3068
22960	3108
22976	3020
22992	3151
23008	3098
23024	3192
23040	3204
23056	3178
23072	3157
23088	3132
23104	3049
23120	3131
23136	3231
23152	3250
23168	3199
23184	3201
23200	3233
23216	3256
23232	3270
23248	3234
23264	3307
23280	3319
23296	3308
23312	3363
23328	3271
23344	3371
23360	3405
23376	3346
23392	3465
23408	3367
23424	3461
23440	3433
23456	3495
23472	3432
23488	3460
23504	3434
23520	3476
23536	3439
23552	3345
23568	3590
23584	3449
23600	3625
23616	3524
23632	3474
23648	3498
23664	3395
23680	3522
23696	3426
23712	3508
23728	3537
23744	3585
23760	3591
23776	3579
23792	3516
23808	3530
23824	3498
23840	3586
23856	3574
23872	3667
23888	3602
23904	3566
23920	3610
23936	3655
23952	3649
23968	3620
23984	3550
24000	3698
24016	3631
24032	3604
24048	3627
24064	3638
24080	3550
24096	3468
24112	3587
24128	3599
24144	3622
24160	3706
24176	3648
24192	3660
24208	3652
24224	3535
24240	3631
24256	3621
24272	3597
24288	3739
24304	3672
24320	3678
24336	3594
24352	3459
24368	3595
24384	3555
24400	3700
24416	3561
24432	3548
24448	3570
24464	3547
24480	3513
24496	3547
24512	3500
24528	3567
24544	3521
24560	3546
24576	3523
24592	3351
24608	3512
24624	3570
24640	3463
24656	3540
24672	3432
24688	3473
24704	3504
24720	3482
24736	3520
24752	3435
24768	3468
24784	3539
24800	3513
24816	3516
24832	3515
24848	3415
24864	3441
24880	3437
24896	3464
24912	3457
24928	3428
24944	3372
24960	3330
24976	3322
24992	3299
25008	3328
25024	3338
25040	3320
25056	3289
25072	3308
25088	3340
25104	3236
25120	3317
25136	3404
25152	3242
25168	3232
25184	3232
25200	3175
25216	3209
25232	3119
25248	3247
25264	3131
25280	3232
25296	3117
25312	3212
25328	3199
25344	3070
25360	3132
25376	3186
25392	3105
25408	3093
25424	3105
25440	2988
25456	2969
25472	2907
25488	2918
25504	2993
25520	2984
25536	2886
25552	2873
25568	2957
25584	2852
25600	2820
25616	2913
25632	2887
25648	2760
25664	2833
25680	2781
25696	2735
25712	2858
25728	2745
