"Time (ps)"	"Counts per bin"
0	565
16	586
32	633
48	575
64	612
80	564
96	584
112	577
128	556
144	571
160	606
176	565
192	563
208	555
224	575
240	513
256	549
272	589
288	555
304	581
320	523
336	540
352	511
368	519
384	560
400	557
416	534
432	519
448	580
464	572
480	522
496	531
512	528
528	513
544	492
560	522
576	480
592	510
608	519
624	497
640	528
656	486
672	470
688	528
704	504
720	472
736	521
752	491
768	492
784	444
800	471
816	501
832	451
848	431
864	481
880	444
896	450
912	439
928	477
944	444
960	444
976	434
992	423
1008	434
1024	414
1040	422
1056	408
1072	405
1088	438
1104	410
1120	406
1136	445
1152	392
1168	438
1184	398
1200	361
1216	394
1232	375
1248	387
1264	378
1280	385
1296	377
1312	408
1328	386
1344	410
1360	379
1376	378
1392	416
1408	368
1424	372
1440	413
1456	361
1472	348
1488	341
1504	375
1520	359
1536	341
1552	309
1568	358
1584	327
1600	336
1616	342
1632	334
1648	346
1664	361
1680	324
1696	318
1712	319
1728	328
1744	306
1760	307
1776	309
1792	315
1808	299
1824	292
1840	300
1856	332
1872	309
1888	295
1904	331
1920	327
1936	281
1952	259
1968	266
1984	308
2000	282
2016	285
2032	256
2048	296
2064	255
2080	300
2096	283
2112	264
2128	275
2144	256
2160	262
2176	223
2192	250
2208	255
2224	254
2240	252
2256	248
2272	259
2288	254
2304	247
2320	261
2336	251
2352	222
2368	244
2384	215
2400	213
2416	212
2432	200
2448	223
2464	232
2480	190
2496	198
2512	192
2528	219
2544	231
2560	176
2576	208
2592	223
2608	196
2624	189
2640	184
2656	175
2672	183
2688	210
2704	172
2720	203
2736	184
2752	183
2768	179
2784	170
2800	183
2816	159
2832	172
2848	159
2864	190
2880	181
2896	175
2912	172
2928	162
2944	174
2960	144
2976	135
2992	144
3008	149
3024	163
3040	159
3056	157
3072	143
3088	159
3104	146
3120	147
3136	143
3152	156
3168	130
3184	124
3200	140
3216	132
3232	116
3248	131
3264	118
3280	124
3296	107
3312	130
3328	121
3344	118
3360	116
3376	108
3392	110
3408	99
3424	102
3440	106
3456	102
3472	124
3488	119
3504	83
3520	100
3536	118
3552	84
3568	104
3584	99
3600	107
3616	96
3632	107
3648	102
3664	110
3680	107
3696	88
3712	91
3728	77
3744	74
3760	100
3776	81
3792	91
3808	74
3824	101
3840	91
3856	88
3872	95
3888	81
3904	76
3920	88
3936	83
3952	80
3968	87
3984	87
4000	85
4016	80
4032	78
4048	77
4064	76
4080	71
4096	74
4112	83
4128	66
4144	89
4160	65
4176	64
4192	71
4208	65
4224	66
4240	56
4256	63
4272	54
4288	66
4304	47
4320	74
4336	63
4352	61
4368	61
4384	69
4400	65
4416	50
4432	54
4448	55
4464	46
4480	58
4496	64
4512	48
4528	58
4544	54
4560	53
4576	59
4592	70
4608	67
4624	57
4640	53
4656	46
4672	52
4688	53
4704	41
4720	40
4736	54
4752	44
4768	52
4784	42
4800	46
4816	49
4832	41
4848	41
4864	63
4880	49
4896	59
4912	50
4928	48
4944	43
4960	54
4976	45
4992	57
5008	48
5024	43
5040	51
5056	46
5072	40
5088	42
5104	41
5120	50
5136	41
5152	43
5168	34
5184	40
5200	43
5216	59
5232	44
5248	46
5264	36
5280	37
5296	39
5312	39
5328	38
5344	47
5360	48
5376	46
5392	33
5408	41
5424	38
5440	35
5456	29
5472	50
5488	36
5504	34
5520	41
5536	30
5552	45
5568	46
5584	30
5600	34
5616	31
5632	38
5648	36
5664	34
5680	46
5696	33
5712	37
5728	37
5744	42
5760	41
5776	39
5792	34
5808	36
5824	48
5840	43
5856	31
5872	33
5888	41
5904	45
5920	48
5936	51
5952	57
5968	59
5984	70
6000	85
6016	96
6032	98
6048	120
6064	110
6080	122
6096	144
6112	151
6128	158
6144	159
6160	133
6176	154
6192	139
6208	129
6224	127
6240	125
6256	150
6272	182
6288	313
6304	606
6320	1256
6336	2712
6352	5583
6368	10379
6384	17193
6400	25364
6416	34292
6432	39810
6448	41852
6464	39799
6480	34568
6496	27652
6512	20109
6528	14256
6544	9570
