"Time (ps)"	"Counts per bin"
0	411
16	436
32	460
48	419
64	435
80	463
96	434
112	416
128	436
144	470
160	426
176	441
192	434
208	405
224	424
240	426
256	416
272	454
288	423
304	553
320	576
336	636
352	741
368	822
384	854
400	990
416	962
432	871
448	846
464	770
480	707
496	631
512	544
528	459
544	443
560	435
576	409
592	412
608	365
624	434
640	414
656	429
672	426
688	416
704	378
720	439
736	404
752	411
768	381
784	381
800	367
816	373
832	357
848	392
864	364
880	380
896	378
912	321
928	333
944	334
960	369
976	382
992	334
1008	373
1024	366
1040	366
1056	372
1072	372
1088	347
1104	338
1120	352
1136	383
1152	329
1168	371
1184	348
1200	342
1216	355
1232	348
1248	341
1264	328
1280	356
1296	359
1312	349
1328	344
1344	321
1360	349
1376	363
1392	332
1408	368
1424	376
1440	320
1456	309
1472	323
1488	333
1504	355
1520	297
1536	294
1552	297
1568	319
1584	298
1600	325
1616	313
1632	293
1648	308
1664	318
1680	315
1696	300
1712	288
1728	317
1744	312
1760	279
1776	279
1792	282
1808	313
1824	294
1840	291
1856	326
1872	294
1888	296
1904	288
1920	334
1936	326
1952	281
1968	283
1984	339
2000	302
2016	282
2032	320
2048	308
2064	293
2080	289
2096	294
2112	254
2128	271
2144	302
2160	270
2176	295
2192	290
2208	275
2224	304
2240	283
2256	302
2272	286
2288	283
2304	295
2320	273
2336	245
2352	282
2368	277
2384	279
2400	291
2416	267
2432	266
2448	279
2464	259
2480	287
2496	266
2512	241
2528	279
2544	268
2560	269
2576	271
2592	272
2608	257
2624	276
2640	269
2656	283
2672	246
2688	232
2704	253
2720	242
2736	232
2752	276
2768	276
2784	246
2800	225
2816	235
2832	246
2848	239
2864	254
2880	215
2896	235
2912	231
2928	252
2944	248
2960	233
2976	228
2992	253
3008	244
3024	248
3040	235
3056	220
3072	240
3088	240
3104	215
3120	215
3136	239
3152	224
3168	222
3184	206
3200	223
3216	238
3232	193
3248	203
3264	218
3280	228
3296	231
3312	203
3328	206
3344	207
3360	176
3376	209
3392	221
3408	213
3424	214
3440	189
3456	209
3472	209
3488	224
3504	210
3520	194
3536	221
3552	219
3568	183
3584	199
3600	177
3616	209
3632	198
3648	189
3664	208
3680	189
3696	221
3712	180
3728	188
3744	197
3760	198
3776	213
3792	186
3808	196
3824	195
3840	160
3856	199
3872	184
3888	222
3904	159
3920	201
3936	172
3952	207
3968	157
3984	172
4000	184
4016	193
4032	195
4048	173
4064	199
4080	184
4096	174
4112	183
4128	188
4144	206
4160	171
4176	214
4192	188
4208	191
4224	163
4240	157
4256	170
4272	181
4288	159
4304	189
4320	186
4336	190
4352	177
4368	186
4384	174
4400	190
4416	185
4432	186
4448	168
4464	164
4480	189
4496	179
4512	165
4528	168
4544	179
4560	189
4576	170
4592	180
4608	183
4624	184
4640	172
4656	176
4672	165
4688	201
4704	167
4720	174
4736	162
4752	161
4768	169
4784	161
4800	181
4816	173
4832	160
4848	162
4864	162
4880	173
4896	164
4912	165
4928	159
4944	182
4960	151
4976	176
4992	175
5008	166
5024	175
5040	160
5056	184
5072	178
5088	170
5104	185
5120	183
5136	164
5152	178
5168	158
5184	176
5200	166
5216	188
5232	162
5248	196
5264	186
5280	167
5296	184
5312	167
5328	168
5344	175
5360	155
5376	188
5392	195
5408	179
5424	183
5440	144
5456	156
5472	173
5488	189
5504	158
5520	189
5536	191
5552	203
5568	193
5584	189
5600	171
5616	189
5632	194
5648	175
5664	175
5680	191
5696	153
5712	208
5728	184
5744	191
5760	188
5776	176
5792	216
5808	179
5824	166
5840	175
5856	188
5872	169
5888	197
5904	173
5920	179
5936	200
5952	234
5968	178
5984	233
6000	229
6016	228
6032	230
6048	187
6064	220
6080	223
6096	200
6112	177
6128	178
6144	189
6160	172
6176	180
6192	221
6208	208
6224	192
6240	206
6256	198
6272	237
6288	200
6304	192
6320	213
6336	228
6352	212
6368	205
6384	198
6400	256
6416	244
6432	231
6448	248
6464	276
6480	335
6496	470
6512	599
6528	885
6544	1155
6560	1581
6576	1924
6592	2297
6608	2722
6624	2976
6640	3073
6656	3121
6672	3284
6688	3269
6704	3309
6720	3231
6736	3318
6752	3514
6768	3840
6784	4244
6800	4967
6816	6018
6832	7143
6848	8138
6864	9092
6880	9373
6896	9428
6912	9351
6928	9524
6944	9846
6960	10350
6976	11712
6992	13226
7008	14647
7024	15641
7040	16643
7056	16421
7072	15170
7088	14024
7104	12400
7120	10860
7136	9527
7152	8466
7168	7191
7184	6486
7200	5676
7216	4796
7232	4167
7248	3399
7264	2879
7280	2418
7296	2056
7312	1723
7328	1463
7344	1396
7360	1225
7376	1123
7392	998
7408	927
7424	932
7440	858
7456	827
7472	782
7488	772
7504	758
7520	763
7536	710
7552	725
7568	633
7584	655
7600	652
7616	619
7632	535
7648	609
7664	566
7680	591
7696	550
7712	563
7728	583
7744	590
7760	534
7776	578
7792	551
7808	522
7824	526
7840	485
7856	503
7872	530
7888	521
7904	499
7920	452
7936	510
7952	512
7968	536
7984	513
8000	539
8016	568
8032	523
8048	523
8064	542
8080	611
8096	514
8112	497
8128	505
8144	482
8160	535
8176	479
8192	465
8208	477
8224	479
8240	490
8256	511
8272	492
8288	516
8304	444
8320	460
8336	485
8352	476
8368	507
8384	482
8400	495
8416	505
8432	471
8448	476
8464	448
8480	456
8496	458
8512	502
8528	457
8544	470
8560	458
8576	462
8592	466
8608	488
8624	481
8640	452
8656	491
8672	488
8688	527
8704	520
8720	487
8736	486
8752	479
8768	479
8784	476
8800	526
8816	460
8832	497
8848	505
8864	518
8880	504
8896	524
8912	512
8928	563
8944	538
8960	541
8976	567
8992	550
9008	531
9024	522
9040	510
9056	495
9072	479
9088	482
9104	490
9120	534
9136	508
9152	485
9168	452
9184	482
9200	497
9216	492
9232	497
9248	499
9264	466
9280	504
9296	488
9312	459
9328	486
9344	463
9360	512
9376	531
9392	502
9408	505
9424	496
9440	511
9456	515
9472	505
9488	509
9504	552
9520	552
9536	514
9552	496
9568	516
9584	553
9600	535
9616	578
9632	562
9648	537
9664	546
9680	525
9696	569
9712	545
9728	537
9744	574
9760	503
9776	547
9792	572
9808	580
9824	629
9840	696
9856	843
9872	977
9888	1179
9904	1404
9920	1486
9936	1591
9952	1717
9968	1646
9984	1460
10000	1339
10016	1112
10032	1020
10048	818
10064	771
10080	646
10096	593
10112	587
10128	531
10144	494
10160	546
10176	534
10192	488
10208	489
10224	524
10240	487
10256	502
10272	526
10288	499
10304	492
10320	481
10336	522
10352	516
10368	524
10384	528
10400	517
10416	524
10432	532
10448	560
10464	514
10480	541
10496	500
10512	510
10528	484
10544	509
10560	526
10576	514
10592	516
10608	524
10624	484
10640	502
10656	510
10672	505
10688	499
10704	494
10720	526
10736	491
10752	488
10768	453
10784	480
10800	513
10816	544
10832	444
10848	465
10864	509
10880	483
10896	474
10912	451
10928	496
10944	467
10960	507
10976	539
10992	506
11008	521
11024	514
11040	489
11056	492
11072	520
11088	522
11104	487
11120	485
11136	495
11152	483
11168	471
11184	458
11200	493
11216	480
11232	510
11248	486
11264	522
11280	474
11296	449
11312	482
11328	485
11344	492
11360	495
11376	504
11392	485
11408	489
11424	495
11440	491
11456	495
11472	503
11488	504
11504	455
11520	488
11536	469
11552	452
11568	497
11584	499
11600	515
11616	488
11632	472
11648	492
11664	453
11680	476
11696	513
11712	498
11728	427
11744	491
11760	484
11776	472
11792	517
11808	452
11824	487
11840	473
11856	521
11872	477
11888	463
11904	442
11920	480
11936	441
11952	456
11968	495
11984	490
12000	492
12016	477
12032	462
12048	517
12064	461
12080	447
12096	478
12112	457
12128	439
12144	451
12160	450
12176	450
12192	453
12208	429
12224	434
12240	456
12256	417
12272	456
12288	453
12304	442
12320	441
12336	438
12352	465
12368	434
12384	444
12400	447
12416	489
12432	456
12448	478
12464	412
12480	438
12496	442
12512	427
12528	419
12544	421
12560	395
12576	419
12592	447
12608	401
12624	480
12640	435
12656	421
12672	429
12688	438
12704	434
12720	434
12736	454
12752	478
12768	471
12784	550
12800	581
12816	698
12832	733
12848	816
12864	902
12880	936
12896	934
12912	895
12928	800
12944	721
12960	614
12976	577
12992	527
13008	439
13024	413
13040	433
13056	435
13072	418
13088	434
13104	359
13120	390
13136	439
13152	399
13168	388
13184	377
13200	421
13216	378
13232	413
13248	415
13264	360
13280	383
13296	381
13312	380
13328	409
13344	389
13360	388
13376	372
13392	387
13408	389
13424	363
13440	337
13456	364
13472	381
13488	362
13504	344
13520	357
13536	340
13552	356
13568	314
13584	343
13600	346
13616	341
13632	338
13648	383
13664	342
13680	332
13696	352
13712	326
13728	358
13744	337
13760	381
13776	346
13792	358
13808	359
13824	351
13840	325
13856	350
13872	322
13888	321
13904	335
13920	306
13936	333
13952	311
13968	320
13984	329
14000	344
14016	314
14032	328
14048	327
14064	354
14080	311
14096	294
14112	315
14128	358
14144	295
14160	326
14176	332
14192	298
14208	314
14224	272
14240	310
14256	296
14272	292
14288	284
14304	294
14320	294
14336	309
14352	288
14368	302
14384	286
14400	288
14416	298
14432	280
14448	314
14464	299
14480	307
14496	282
14512	305
14528	282
14544	256
14560	292
14576	268
14592	300
14608	335
14624	294
14640	254
14656	303
14672	306
14688	264
14704	238
14720	283
14736	304
14752	291
14768	296
14784	288
14800	267
14816	286
14832	254
14848	294
14864	248
14880	294
14896	301
14912	269
14928	256
14944	248
14960	271
14976	242
14992	263
15008	275
15024	247
15040	235
15056	251
15072	284
15088	294
15104	253
15120	263
15136	245
15152	252
15168	274
15184	266
15200	270
15216	248
15232	231
15248	245
15264	246
15280	243
15296	239
15312	213
15328	263
15344	251
15360	232
15376	250
15392	205
15408	238
15424	223
15440	203
15456	224
15472	263
15488	203
15504	217
15520	256
15536	212
15552	222
15568	221
15584	223
15600	217
15616	216
15632	228
15648	220
15664	208
15680	241
15696	221
15712	226
15728	226
15744	251
15760	218
15776	202
15792	220
15808	213
15824	230
15840	221
15856	189
15872	205
15888	207
