"Time (ps)"	"Counts per bin"
0	300
16	287
32	285
48	291
64	287
80	260
96	295
112	288
128	282
144	238
160	256
176	277
192	273
208	265
224	258
240	259
256	292
272	290
288	234
304	253
320	284
336	249
352	244
368	269
384	254
400	259
416	282
432	243
448	284
464	292
480	202
496	264
512	238
528	270
544	279
560	232
576	233
592	232
608	256
624	234
640	260
656	226
672	234
688	251
704	225
720	213
736	230
752	239
768	221
784	219
800	224
816	233
832	210
848	249
864	224
880	203
896	223
912	243
928	252
944	222
960	208
976	236
992	221
1008	221
1024	213
1040	224
1056	200
1072	218
1088	205
1104	230
1120	211
1136	228
1152	205
1168	211
1184	218
1200	203
1216	225
1232	215
1248	198
1264	210
1280	217
1296	201
1312	209
1328	189
1344	204
1360	205
1376	202
1392	202
1408	192
1424	205
1440	186
1456	208
1472	212
1488	215
1504	186
1520	184
1536	206
1552	210
1568	201
1584	184
1600	198
1616	200
1632	176
1648	207
1664	197
1680	184
1696	189
1712	163
1728	184
1744	198
1760	206
1776	182
1792	205
1808	179
1824	186
1840	180
1856	179
1872	176
1888	177
1904	185
1920	186
1936	174
1952	174
1968	190
1984	171
2000	184
2016	209
2032	181
2048	188
2064	178
2080	181
2096	167
2112	177
2128	145
2144	186
2160	176
2176	186
2192	191
2208	178
2224	163
2240	170
2256	182
2272	170
2288	157
2304	195
2320	158
2336	189
2352	199
2368	159
2384	161
2400	190
2416	174
2432	168
2448	163
2464	172
2480	173
2496	176
2512	180
2528	184
2544	187
2560	181
2576	165
2592	181
2608	181
2624	186
2640	157
2656	173
2672	171
2688	196
2704	184
2720	177
2736	205
2752	173
2768	205
2784	173
2800	167
2816	172
2832	176
2848	192
2864	196
2880	177
2896	180
2912	169
2928	199
2944	166
2960	155
2976	157
2992	161
3008	178
3024	197
3040	181
3056	156
3072	174
3088	179
3104	183
3120	188
3136	187
3152	182
3168	192
3184	173
3200	170
3216	197
3232	212
3248	173
3264	207
3280	186
3296	186
3312	180
3328	178
3344	199
3360	203
3376	191
3392	187
3408	168
3424	238
3440	201
3456	192
3472	213
3488	228
3504	224
3520	215
3536	223
3552	227
3568	232
3584	213
3600	211
3616	207
3632	233
3648	187
3664	211
3680	194
3696	213
3712	199
3728	190
3744	196
3760	229
3776	200
3792	192
3808	213
3824	198
3840	200
3856	194
3872	210
3888	203
3904	198
3920	205
3936	219
3952	249
3968	231
3984	280
4000	336
4016	487
4032	559
4048	846
4064	1138
4080	1496
4096	1856
4112	2349
4128	2691
4144	2922
4160	3022
4176	3352
4192	3426
4208	3403
4224	3420
4240	3508
4256	3496
4272	3625
4288	3901
4304	4402
4320	5063
4336	6089
4352	7311
4368	8376
4384	9288
4400	9673
4416	9968
4432	10121
4448	9942
4464	9944
4480	10830
4496	11606
4512	13485
4528	15153
4544	16315
4560	17378
4576	17325
4592	16682
4608	15289
4624	13562
4640	11669
4656	10260
4672	9003
4688	7925
4704	7057
4720	6088
4736	5277
4752	4465
4768	3731
4784	3160
4800	2635
4816	2223
4832	1980
4848	1660
4864	1496
4880	1301
4896	1240
4912	1085
4928	1024
4944	1006
4960	933
4976	920
4992	855
5008	805
5024	753
5040	785
5056	723
5072	697
5088	688
5104	659
5120	642
5136	633
5152	602
5168	648
5184	586
5200	627
5216	628
5232	597
5248	555
5264	594
5280	581
5296	539
5312	551
5328	570
5344	558
5360	512
5376	501
5392	543
5408	528
5424	512
5440	537
5456	524
5472	525
5488	520
5504	488
5520	515
5536	548
5552	563
5568	548
5584	557
5600	601
5616	533
5632	551
5648	520
5664	517
5680	523
5696	509
5712	493
5728	513
5744	475
5760	519
5776	540
5792	491
5808	481
5824	487
5840	476
5856	477
5872	528
5888	536
5904	502
5920	454
5936	471
5952	476
5968	471
5984	507
6000	459
6016	524
6032	489
6048	517
6064	507
6080	498
6096	474
6112	470
6128	514
6144	460
6160	515
6176	528
6192	455
6208	476
6224	503
6240	502
6256	514
6272	504
6288	510
6304	532
6320	508
6336	506
6352	549
6368	527
6384	520
6400	507
6416	545
6432	559
6448	570
6464	588
6480	627
6496	545
6512	553
6528	516
6544	517
6560	534
6576	522
6592	502
6608	519
6624	501
6640	497
6656	520
6672	506
6688	516
6704	476
6720	479
6736	498
6752	533
6768	515
6784	468
6800	484
6816	532
6832	489
6848	497
6864	533
6880	456
6896	474
6912	537
6928	564
6944	488
6960	548
6976	518
6992	548
7008	525
7024	507
7040	530
7056	554
7072	548
7088	529
7104	550
7120	547
7136	596
7152	561
7168	561
7184	571
7200	594
7216	584
7232	568
7248	567
7264	553
7280	551
7296	599
7312	567
7328	649
7344	642
7360	721
7376	845
7392	983
7408	1171
7424	1363
7440	1518
7456	1704
7472	1739
7488	1717
7504	1621
7520	1415
7536	1253
7552	1070
7568	934
7584	765
7600	735
7616	673
7632	612
7648	606
7664	536
7680	544
7696	542
7712	573
7728	576
7744	531
7760	524
7776	486
7792	512
7808	555
7824	523
7840	559
7856	555
7872	521
7888	573
7904	566
7920	542
7936	530
7952	566
7968	551
7984	500
8000	563
8016	524
8032	499
8048	541
8064	545
8080	553
8096	505
8112	534
8128	525
8144	562
8160	572
8176	513
8192	574
8208	509
8224	485
8240	533
8256	559
8272	588
8288	572
8304	546
8320	522
8336	529
8352	502
8368	525
8384	531
8400	493
8416	541
8432	487
8448	529
8464	540
8480	517
8496	546
8512	498
8528	522
8544	541
8560	539
8576	574
8592	586
8608	508
8624	530
8640	501
8656	521
8672	533
8688	528
8704	533
8720	536
8736	503
8752	512
8768	546
8784	541
8800	533
8816	512
8832	526
8848	527
8864	537
8880	494
8896	538
8912	526
8928	542
8944	511
8960	524
8976	520
8992	498
9008	524
9024	497
9040	517
9056	514
9072	516
9088	529
9104	560
9120	511
9136	464
9152	526
9168	511
9184	469
9200	533
9216	495
9232	488
9248	521
9264	545
9280	531
9296	553
9312	518
9328	474
9344	561
9360	505
9376	530
9392	484
9408	497
9424	530
9440	562
9456	523
9472	505
9488	511
9504	543
9520	511
9536	477
9552	495
9568	504
9584	476
9600	477
9616	480
9632	522
9648	544
9664	482
9680	522
9696	490
9712	556
9728	480
9744	465
9760	500
9776	512
9792	508
9808	498
9824	489
9840	454
9856	492
9872	498
9888	505
9904	496
9920	506
9936	480
9952	464
9968	483
9984	501
10000	479
10016	497
10032	467
10048	490
10064	461
10080	499
10096	487
10112	486
10128	487
10144	472
10160	418
10176	472
10192	462
10208	432
10224	447
10240	453
10256	487
10272	490
10288	514
10304	559
10320	662
10336	682
10352	837
10368	873
10384	956
10400	998
10416	981
10432	928
10448	865
10464	767
10480	670
10496	649
10512	555
10528	490
10544	491
10560	476
10576	435
10592	468
10608	427
10624	438
10640	428
10656	412
10672	465
10688	415
10704	424
10720	432
10736	390
10752	396
10768	416
10784	443
10800	428
10816	410
10832	437
10848	410
10864	446
10880	428
10896	414
10912	412
10928	384
10944	384
10960	400
10976	444
10992	414
11008	391
11024	413
11040	390
11056	376
11072	398
11088	361
11104	388
11120	386
11136	384
11152	403
11168	376
11184	371
11200	392
11216	356
11232	356
11248	384
11264	352
11280	397
11296	377
11312	346
11328	372
11344	378
11360	384
11376	384
11392	358
11408	360
11424	383
11440	368
11456	344
11472	361
11488	361
11504	387
11520	339
11536	327
11552	356
11568	306
11584	359
11600	390
11616	355
11632	319
11648	355
11664	349
11680	315
11696	323
11712	336
11728	320
11744	343
11760	328
11776	331
11792	321
11808	343
11824	339
11840	361
11856	344
11872	324
11888	355
11904	320
11920	301
11936	326
11952	323
11968	320
11984	320
12000	344
12016	326
12032	317
12048	292
12064	323
12080	310
12096	322
12112	324
12128	324
12144	276
12160	278
12176	316
12192	293
12208	294
12224	301
12240	315
12256	293
12272	326
12288	297
12304	326
12320	290
12336	312
12352	299
12368	270
12384	316
12400	247
12416	271
12432	279
12448	293
12464	300
12480	298
12496	292
12512	304
12528	295
12544	282
12560	301
12576	304
12592	297
12608	259
12624	266
12640	252
12656	276
12672	271
12688	257
12704	264
12720	262
12736	268
12752	265
12768	271
12784	264
12800	251
12816	236
12832	257
12848	248
12864	244
12880	257
12896	268
12912	264
12928	245
12944	268
12960	270
12976	224
12992	252
13008	250
13024	269
13040	238
13056	241
13072	254
13088	252
13104	260
13120	229
13136	242
13152	238
13168	253
13184	217
13200	239
13216	238
13232	239
13248	241
13264	236
13280	209
13296	261
13312	227
13328	227
13344	248
13360	225
13376	227
13392	202
13408	227
13424	249
13440	237
13456	201
13472	231
13488	224
13504	224
13520	217
13536	235
13552	232
13568	240
13584	209
13600	232
13616	237
13632	217
13648	209
13664	211
13680	178
13696	218
13712	217
13728	204
13744	183
13760	215
13776	222
13792	215
13808	235
13824	214
13840	188
13856	210
13872	206
13888	205
13904	231
13920	212
13936	198
13952	210
13968	217
13984	218
14000	212
14016	170
14032	166
14048	184
14064	180
14080	194
14096	196
14112	173
14128	168
14144	223
14160	189
14176	192
14192	194
14208	190
14224	175
14240	194
14256	198
14272	182
14288	183
14304	190
14320	193
14336	161
14352	191
14368	202
14384	187
14400	193
14416	169
14432	175
14448	186
14464	209
14480	163
14496	182
14512	190
14528	186
14544	177
14560	198
14576	188
14592	170
14608	177
14624	175
14640	180
14656	165
14672	177
14688	169
14704	167
14720	181
14736	151
14752	183
14768	185
14784	181
14800	183
14816	152
14832	180
14848	172
14864	173
14880	164
14896	191
14912	179
14928	196
14944	186
14960	161
14976	162
14992	177
15008	158
15024	195
15040	179
15056	160
15072	176
15088	192
15104	162
15120	179
15136	181
15152	154
15168	185
15184	191
15200	201
15216	200
15232	205
15248	196
15264	165
15280	164
15296	173
15312	172
15328	150
15344	175
15360	182
15376	180
15392	167
15408	171
15424	194
15440	183
15456	165
15472	169
15488	152
15504	186
15520	165
15536	212
15552	203
15568	196
15584	208
15600	182
15616	180
15632	178
15648	176
15664	190
15680	158
15696	169
15712	197
15728	165
15744	185
15760	174
15776	190
15792	182
15808	168
15824	201
15840	194
15856	189
15872	197
15888	188
15904	198
15920	206
15936	208
15952	209
15968	222
15984	219
16000	213
16016	232
16032	206
16048	233
16064	234
16080	218
16096	206
16112	188
16128	209
16144	220
16160	198
16176	221
16192	202
16208	204
16224	189
16240	197
16256	194
16272	193
16288	197
16304	221
16320	201
16336	194
16352	223
16368	198
16384	215
16400	223
16416	178
16432	217
16448	264
16464	309
16480	411
16496	546
16512	721
16528	1026
16544	1267
16560	1839
16576	2154
16592	2439
16608	2806
16624	3122
16640	3383
16656	3423
16672	3349
16688	3356
16704	3494
16720	3409
16736	3648
16752	3729
16768	4171
16784	4838
16800	5642
16816	6760
16832	7935
16848	8950
16864	9784
16880	9930
16896	9815
16912	9714
16928	9965
16944	10447
16960	11406
16976	12792
16992	14388
17008	15941
17024	17242
17040	17196
17056	16882
17072	15763
17088	14074
17104	12534
17120	10875
17136	9349
17152	8388
17168	7192
17184	6437
17200	5629
17216	4745
17232	3942
17248	3338
17264	2764
17280	2428
17296	2048
17312	1793
17328	1527
17344	1430
17360	1243
17376	1112
17392	1014
17408	970
17424	974
17440	883
17456	843
17472	866
17488	784
17504	734
17520	713
17536	739
17552	686
17568	700
17584	642
17600	605
17616	631
17632	602
17648	587
17664	586
17680	581
17696	652
17712	575
17728	578
17744	570
17760	553
17776	549
17792	570
17808	530
17824	550
17840	479
17856	501
17872	524
17888	547
17904	501
17920	527
17936	496
17952	518
17968	501
17984	557
18000	575
18016	579
18032	549
18048	595
18064	592
18080	518
18096	555
18112	567
18128	547
18144	519
18160	537
18176	555
18192	501
18208	513
18224	506
18240	467
18256	508
18272	488
18288	486
18304	523
18320	478
18336	463
18352	486
18368	484
18384	526
18400	496
18416	506
18432	448
18448	529
18464	478
18480	503
18496	497
18512	478
18528	472
18544	502
18560	500
18576	516
18592	501
18608	515
18624	494
18640	491
18656	487
18672	469
18688	497
18704	513
18720	503
18736	497
18752	515
18768	469
18784	493
18800	510
18816	503
18832	474
18848	537
18864	537
18880	497
18896	580
18912	539
18928	545
18944	549
18960	573
18976	537
18992	562
19008	557
19024	568
19040	487
19056	528
19072	489
19088	514
19104	516
19120	523
19136	496
19152	506
19168	518
19184	479
19200	508
19216	523
19232	475
19248	452
19264	493
19280	465
19296	523
19312	513
19328	522
19344	482
19360	524
19376	505
19392	556
19408	495
19424	485
19440	562
19456	508
19472	501
19488	555
19504	520
19520	530
19536	508
19552	555
19568	574
19584	543
19600	577
19616	583
19632	589
19648	550
19664	589
19680	546
19696	566
19712	538
19728	553
19744	554
19760	546
19776	557
19792	604
19808	656
19824	670
19840	828
19856	930
19872	1092
19888	1331
19904	1550
19920	1656
19936	1714
19952	1781
19968	1612
19984	1578
20000	1388
20016	1232
20032	994
20048	855
20064	771
20080	669
20096	617
20112	591
20128	576
20144	558
20160	568
20176	537
20192	547
20208	547
20224	464
20240	536
20256	523
20272	525
20288	574
20304	573
20320	505
20336	534
20352	518
20368	557
20384	547
20400	590
20416	517
20432	546
20448	573
20464	550
20480	486
20496	507
20512	563
20528	576
20544	494
20560	534
20576	493
20592	498
20608	504
20624	518
20640	529
20656	561
20672	503
20688	488
20704	517
20720	506
20736	563
20752	498
20768	514
20784	533
20800	503
20816	543
20832	505
20848	532
20864	515
20880	574
20896	536
20912	542
20928	526
20944	488
20960	547
20976	520
20992	508
21008	497
21024	539
21040	543
21056	532
21072	486
21088	517
21104	551
21120	507
21136	532
21152	523
21168	553
21184	529
21200	541
21216	541
21232	530
21248	533
21264	552
21280	507
21296	522
21312	513
21328	501
21344	518
21360	481
21376	543
21392	505
21408	525
21424	510
21440	550
21456	497
21472	504
21488	452
21504	512
21520	541
21536	535
21552	508
21568	503
21584	546
21600	521
21616	511
21632	527
21648	543
21664	486
21680	515
21696	547
21712	547
21728	523
21744	530
21760	521
21776	554
21792	476
21808	503
21824	524
21840	522
21856	542
21872	517
21888	516
21904	482
21920	478
21936	565
21952	468
21968	470
21984	503
22000	503
22016	513
22032	500
22048	454
22064	483
22080	477
22096	522
22112	514
22128	501
22144	548
22160	481
22176	471
22192	526
22208	481
22224	495
22240	517
22256	487
22272	467
22288	475
22304	485
22320	484
22336	463
22352	493
22368	468
22384	487
22400	452
22416	487
22432	471
22448	475
22464	504
22480	469
22496	483
22512	502
22528	499
22544	479
22560	448
22576	500
22592	439
22608	454
22624	473
22640	418
22656	451
22672	471
22688	444
22704	451
22720	480
22736	501
22752	476
22768	549
22784	616
22800	596
22816	818
22832	855
22848	992
22864	983
22880	1016
22896	973
22912	910
22928	814
22944	741
22960	678
22976	629
22992	533
23008	444
23024	463
23040	477
23056	408
23072	446
23088	481
23104	447
23120	436
23136	439
23152	412
23168	413
23184	416
23200	440
23216	478
23232	427
23248	419
23264	395
