"Time (ps)"	"Counts per bin"
0	246
16	228
32	275
48	271
64	294
80	285
96	263
112	259
128	258
144	282
160	265
176	252
192	252
208	264
224	282
240	272
256	254
272	247
288	258
304	261
320	254
336	255
352	249
368	280
384	251
400	277
416	266
432	241
448	257
464	245
480	259
496	263
512	283
528	254
544	261
560	229
576	264
592	238
608	264
624	217
640	228
656	233
672	234
688	255
704	224
720	230
736	235
752	256
768	248
784	225
800	236
816	262
832	230
848	231
864	257
880	251
896	250
912	233
928	231
944	220
960	273
976	257
992	240
1008	226
1024	225
1040	237
1056	223
1072	237
1088	244
1104	230
1120	246
1136	214
1152	247
1168	233
1184	222
1200	226
1216	244
1232	231
1248	242
1264	215
1280	222
1296	225
1312	246
1328	227
1344	263
1360	277
1376	252
1392	253
1408	226
1424	217
1440	226
1456	210
1472	243
1488	239
1504	217
1520	257
1536	234
1552	238
1568	241
1584	249
1600	221
1616	200
1632	230
1648	222
1664	247
1680	233
1696	221
1712	233
1728	259
1744	203
1760	260
1776	221
1792	240
1808	221
1824	250
1840	274
1856	253
1872	251
1888	243
1904	258
1920	223
1936	254
1952	240
1968	243
1984	245
2000	248
2016	240
2032	215
2048	245
2064	256
2080	229
2096	250
2112	231
2128	231
2144	213
2160	249
2176	243
2192	255
2208	243
2224	226
2240	257
2256	255
2272	233
2288	229
2304	269
2320	280
2336	255
2352	241
2368	271
2384	258
2400	261
2416	220
2432	248
2448	247
2464	231
2480	230
2496	284
2512	262
2528	259
2544	245
2560	236
2576	284
2592	244
2608	279
2624	267
2640	236
2656	256
2672	276
2688	256
2704	256
2720	256
2736	248
2752	270
2768	250
2784	269
2800	272
2816	272
2832	277
2848	264
2864	264
2880	268
2896	267
2912	291
2928	271
2944	275
2960	267
2976	262
2992	260
3008	286
3024	288
3040	266
3056	291
3072	267
3088	260
3104	264
3120	283
3136	255
3152	248
3168	264
3184	309
3200	291
3216	295
3232	251
3248	254
3264	314
3280	261
3296	320
3312	266
3328	271
3344	297
3360	287
3376	299
3392	287
3408	263
3424	306
3440	316
3456	355
3472	304
3488	335
3504	303
3520	330
3536	323
3552	336
3568	346
3584	344
3600	309
3616	331
3632	310
3648	277
3664	307
3680	327
3696	285
3712	324
3728	288
3744	303
3760	307
3776	291
3792	325
3808	293
3824	285
3840	295
3856	324
3872	307
3888	329
3904	315
3920	358
3936	382
3952	359
3968	396
3984	470
4000	535
4016	633
4032	863
4048	1176
4064	1497
4080	1877
4096	2261
4112	2732
4128	3077
4144	3385
4160	3651
4176	3761
4192	3946
4208	4043
4224	3971
4240	3886
4256	4027
4272	4262
4288	4696
4304	5097
4320	6007
4336	7136
4352	8363
4368	9512
4384	10497
4400	11144
4416	11490
4432	11535
4448	11856
4464	12476
4480	12790
4496	14063
4512	15585
4528	16584
4544	17294
4560	17695
4576	17565
4592	16796
4608	15542
4624	14040
4640	12607
4656	11431
4672	10483
4688	9406
4704	8560
4720	7967
4736	7142
4752	6233
4768	5355
4784	4520
4800	3787
4816	3323
4832	2833
4848	2460
4864	2166
4880	1997
4896	1767
4912	1683
4928	1537
4944	1428
4960	1358
4976	1325
4992	1228
5008	1191
5024	1165
5040	1071
5056	975
5072	966
5088	949
5104	936
5120	915
5136	892
5152	853
5168	850
5184	876
5200	837
5216	863
5232	818
5248	787
5264	807
5280	825
5296	841
5312	752
5328	809
5344	774
5360	716
5376	718
5392	757
5408	706
5424	725
5440	694
5456	724
5472	687
5488	671
5504	684
5520	707
5536	719
5552	749
5568	759
5584	721
5600	694
5616	716
5632	740
5648	651
5664	691
5680	665
5696	657
5712	680
5728	675
5744	736
5760	659
5776	693
5792	702
5808	691
5824	659
5840	661
5856	643
5872	648
5888	707
5904	655
5920	657
5936	667
5952	656
5968	636
5984	618
6000	610
6016	675
6032	646
6048	639
6064	643
6080	681
6096	628
6112	622
6128	622
6144	703
6160	677
6176	677
6192	660
6208	696
6224	629
6240	645
6256	648
6272	689
6288	662
6304	655
6320	631
6336	603
6352	647
6368	661
6384	617
6400	659
6416	652
6432	704
6448	698
6464	731
6480	697
6496	714
6512	642
6528	661
6544	665
6560	647
6576	627
6592	620
6608	619
6624	594
6640	586
6656	602
6672	595
6688	596
6704	575
6720	561
6736	578
6752	556
6768	565
6784	609
6800	550
6816	581
6832	594
6848	590
6864	628
6880	557
6896	601
6912	552
6928	592
6944	591
6960	606
6976	641
6992	601
7008	648
7024	629
7040	599
7056	657
7072	646
7088	652
7104	687
7120	640
7136	666
7152	688
7168	688
7184	706
7200	676
7216	657
7232	712
7248	678
7264	676
7280	727
7296	733
7312	697
7328	840
7344	886
7360	1039
7376	1113
7392	1320
7408	1611
7424	1838
7440	2007
7456	2201
7472	2260
7488	2254
7504	2171
7520	2016
7536	1715
7552	1390
7568	1155
7584	1007
7600	875
7616	767
7632	672
7648	631
7664	643
7680	632
7696	558
7712	554
7728	584
7744	544
7760	565
7776	579
7792	644
7808	612
7824	607
7840	620
7856	578
7872	615
7888	607
7904	593
7920	646
7936	627
7952	568
7968	574
7984	619
8000	568
8016	573
8032	619
8048	543
8064	544
8080	587
8096	526
8112	561
8128	556
8144	535
8160	519
8176	547
8192	522
8208	530
8224	516
8240	535
8256	566
8272	466
8288	533
8304	522
8320	549
8336	547
8352	560
8368	556
8384	493
8400	533
8416	503
8432	498
8448	502
8464	488
8480	497
8496	486
8512	541
8528	482
8544	502
8560	504
8576	487
8592	470
8608	463
8624	497
8640	536
8656	517
8672	521
8688	498
8704	524
8720	505
8736	483
8752	462
8768	477
8784	490
8800	516
8816	497
8832	476
8848	525
8864	535
8880	491
8896	441
8912	485
8928	501
8944	469
8960	469
8976	494
8992	446
9008	450
9024	429
9040	501
9056	532
9072	485
9088	487
9104	488
9120	456
9136	495
9152	488
9168	499
9184	470
9200	488
9216	472
9232	508
9248	480
9264	488
9280	447
9296	478
9312	438
9328	429
9344	479
9360	440
9376	449
9392	485
9408	453
9424	460
9440	457
9456	461
9472	426
9488	437
9504	454
9520	441
9536	447
9552	416
9568	405
9584	447
9600	452
9616	474
9632	451
9648	417
9664	415
9680	428
9696	456
9712	450
9728	412
9744	426
9760	412
9776	412
9792	416
9808	461
9824	413
9840	475
9856	448
9872	393
9888	413
9904	414
9920	393
9936	400
9952	431
9968	394
9984	425
10000	392
10016	411
10032	410
10048	366
10064	417
10080	404
10096	390
10112	415
10128	384
10144	388
10160	404
10176	430
10192	381
10208	403
10224	377
10240	417
10256	418
10272	444
10288	456
10304	530
10320	596
10336	629
10352	726
10368	758
10384	783
10400	884
10416	811
10432	830
10448	735
10464	673
10480	583
10496	525
