"Time (ps)"	"Counts per bin"
0	380
16	472
32	415
48	454
64	417
80	411
96	428
112	453
128	419
144	432
160	436
176	432
192	437
208	473
224	430
240	465
256	442
272	470
288	452
304	480
320	442
336	454
352	447
368	441
384	439
400	433
416	471
432	460
448	427
464	452
480	424
496	444
512	477
528	489
544	451
560	457
576	463
592	558
608	471
624	501
640	488
656	479
672	533
688	474
704	493
720	480
736	477
752	517
768	447
784	529
800	533
816	440
832	496
848	469
864	534
880	543
896	526
912	498
928	528
944	519
960	548
976	542
992	478
1008	543
1024	548
1040	532
1056	548
1072	543
1088	563
1104	532
1120	532
1136	542
1152	586
1168	591
1184	565
1200	578
1216	585
1232	627
1248	646
1264	643
1280	653
1296	664
1312	619
1328	629
1344	679
1360	665
1376	613
1392	607
1408	627
1424	548
1440	604
1456	581
1472	590
1488	609
1504	588
1520	613
1536	573
1552	619
1568	625
1584	679
1600	635
1616	627
1632	638
1648	634
1664	669
1680	744
1696	659
1712	742
1728	842
1744	1008
1760	1172
1776	1504
1792	2007
1808	2591
1824	3243
1840	4049
1856	4845
1872	5484
1888	6009
1904	6290
1920	6631
1936	6770
1952	6833
1968	6772
1984	6754
2000	6930
2016	7090
2032	7826
2048	8833
2064	10395
2080	11953
2096	14386
2112	16605
2128	18059
2144	19385
2160	19939
2176	20106
2192	20487
2208	20708
2224	22060
2240	24238
2256	26030
2272	28252
2288	29953
2304	30295
2320	30032
2336	28307
2352	26187
2368	23696
2384	21445
2400	19076
2416	17557
2432	16037
2448	15015
2464	13161
2480	12062
2496	10548
2512	9444
2528	7814
2544	6780
2560	5821
2576	4901
2592	4369
2608	3731
2624	3390
2640	3118
2656	2909
2672	2693
2688	2653
2704	2529
2720	2388
2736	2156
2752	2153
2768	2022
2784	1879
2800	1922
2816	1824
2832	1750
2848	1708
2864	1674
2880	1675
2896	1597
2912	1549
2928	1552
2944	1580
2960	1598
2976	1638
2992	1533
3008	1559
3024	1494
3040	1412
3056	1397
3072	1521
3088	1463
3104	1283
3120	1351
3136	1412
3152	1322
3168	1403
3184	1355
3200	1348
3216	1289
3232	1362
3248	1364
3264	1370
3280	1340
3296	1357
3312	1411
3328	1340
3344	1367
3360	1365
3376	1357
3392	1326
3408	1328
3424	1317
3440	1345
3456	1224
3472	1288
3488	1265
3504	1243
3520	1242
3536	1200
3552	1246
3568	1240
3584	1264
3600	1251
3616	1154
3632	1179
3648	1227
3664	1257
3680	1139
3696	1262
3712	1218
3728	1270
3744	1190
3760	1210
3776	1195
3792	1220
3808	1223
3824	1249
3840	1176
3856	1334
3872	1234
3888	1251
3904	1211
3920	1294
3936	1150
3952	1298
3968	1270
3984	1225
4000	1234
4016	1231
4032	1348
4048	1179
4064	1275
4080	1263
4096	1199
4112	1284
4128	1192
4144	1283
4160	1354
4176	1272
4192	1389
4208	1332
4224	1392
4240	1327
4256	1307
4272	1258
4288	1234
4304	1199
4320	1180
4336	1151
4352	1149
4368	1142
4384	1137
4400	1105
4416	1129
4432	1124
4448	1149
4464	1107
4480	1173
4496	1102
4512	1122
4528	1130
4544	1114
4560	1153
4576	1063
4592	1075
4608	1131
4624	1112
4640	1096
4656	1154
4672	1100
4688	1131
4704	1163
4720	1116
4736	1175
4752	1172
4768	1171
4784	1216
4800	1210
4816	1221
4832	1222
4848	1273
4864	1275
4880	1193
4896	1303
4912	1281
4928	1280
4944	1242
4960	1236
4976	1277
4992	1275
5008	1266
5024	1301
5040	1307
5056	1406
5072	1587
5088	1617
5104	1789
5120	2080
5136	2494
5152	2899
5168	3286
5184	3818
5200	3950
5216	4037
5232	3990
5248	3703
5264	3241
5280	2850
5296	2420
5312	2098
5328	1732
5344	1555
5360	1315
5376	1297
5392	1230
5408	1162
5424	1175
5440	1089
5456	1070
5472	1119
5488	1020
5504	1068
5520	1105
5536	1079
5552	1036
5568	1090
5584	1079
5600	1095
5616	1079
5632	1117
5648	1169
5664	1125
5680	1031
5696	1048
5712	1070
5728	1070
5744	1006
5760	1022
5776	967
5792	971
5808	974
5824	998
5840	963
5856	985
5872	971
5888	1019
5904	949
5920	934
5936	911
5952	1003
5968	891
5984	945
6000	985
6016	961
6032	951
6048	929
6064	964
6080	878
6096	927
6112	886
6128	910
6144	902
6160	932
6176	902
6192	905
6208	931
6224	899
6240	860
6256	918
6272	867
6288	892
6304	929
6320	876
6336	851
6352	854
6368	913
6384	895
6400	809
6416	818
6432	786
6448	882
6464	882
6480	897
6496	844
6512	785
6528	864
6544	797
6560	806
6576	874
6592	828
6608	875
6624	818
6640	844
6656	855
6672	857
6688	846
6704	831
6720	818
6736	892
6752	838
6768	796
6784	858
6800	825
6816	788
6832	814
6848	859
6864	782
6880	815
6896	855
6912	760
6928	738
6944	792
6960	815
6976	760
6992	801
7008	804
7024	781
7040	790
7056	777
7072	763
7088	752
7104	731
7120	749
7136	784
7152	762
7168	774
7184	725
7200	726
7216	778
7232	738
7248	673
7264	762
7280	766
7296	754
7312	727
7328	714
7344	698
7360	761
7376	746
7392	747
7408	687
7424	688
7440	688
7456	718
7472	698
7488	732
7504	687
7520	684
7536	711
7552	694
7568	652
7584	748
7600	700
7616	662
7632	671
7648	709
7664	674
7680	637
7696	674
7712	737
7728	639
7744	688
7760	694
7776	682
7792	640
7808	680
7824	662
7840	635
7856	673
7872	647
7888	692
7904	658
7920	654
7936	639
7952	600
7968	666
7984	643
8000	680
8016	748
8032	761
8048	852
8064	1008
8080	1068
8096	1247
8112	1270
8128	1439
8144	1495
8160	1434
8176	1361
8192	1206
8208	1052
8224	950
8240	841
8256	818
8272	721
8288	647
8304	659
8320	639
8336	606
8352	646
8368	557
8384	592
8400	566
8416	577
8432	612
8448	529
8464	578
8480	565
8496	608
8512	518
8528	547
8544	498
8560	538
8576	552
8592	519
8608	534
8624	544
8640	519
8656	571
8672	557
8688	572
8704	527
8720	553
8736	553
8752	537
8768	494
8784	508
8800	509
8816	505
8832	531
8848	520
8864	488
8880	520
8896	496
8912	509
8928	495
8944	475
8960	487
8976	501
8992	481
9008	511
9024	484
9040	494
9056	480
9072	484
9088	492
9104	470
9120	474
9136	470
9152	477
9168	459
9184	419
9200	474
9216	437
9232	490
9248	464
9264	449
9280	433
9296	481
9312	462
9328	445
9344	479
9360	469
9376	450
9392	485
9408	467
9424	458
9440	435
9456	436
9472	473
9488	434
9504	460
9520	445
9536	456
9552	441
9568	421
9584	444
9600	432
9616	469
9632	407
9648	413
9664	436
9680	442
9696	421
9712	437
9728	403
9744	412
9760	440
9776	428
9792	460
9808	405
9824	410
9840	420
9856	383
9872	415
9888	382
9904	433
9920	380
9936	413
9952	387
9968	406
9984	364
10000	394
10016	403
10032	363
10048	405
10064	391
10080	383
10096	430
10112	444
10128	400
10144	374
10160	432
10176	392
10192	361
10208	378
10224	428
10240	389
10256	391
10272	410
10288	381
10304	396
10320	360
10336	385
10352	401
10368	396
10384	384
10400	376
10416	377
10432	380
10448	376
10464	399
10480	365
10496	392
10512	375
10528	380
10544	353
10560	382
10576	389
10592	379
10608	375
10624	421
10640	365
10656	392
10672	376
10688	366
10704	372
10720	386
10736	380
10752	377
10768	370
10784	371
10800	382
10816	395
10832	394
10848	320
10864	365
10880	345
10896	325
10912	356
10928	390
10944	392
10960	380
10976	358
10992	385
11008	333
11024	367
11040	348
11056	394
11072	361
11088	371
11104	358
11120	350
11136	347
11152	353
11168	368
11184	353
11200	397
11216	371
11232	362
11248	398
11264	335
11280	368
11296	336
11312	372
11328	362
11344	401
11360	375
11376	359
11392	410
11408	344
11424	361
11440	377
11456	366
11472	349
