"Time (ps)"	"Counts per bin"
0	9
16	13
32	13
48	21
64	15
80	9
96	10
112	9
128	12
144	15
160	12
176	17
192	13
208	17
224	13
240	17
256	18
272	12
288	14
304	5
320	9
336	16
352	13
368	11
384	14
400	15
416	12
432	7
448	12
464	12
480	12
496	11
512	14
528	15
544	11
560	12
576	9
592	9
608	18
624	13
640	10
656	12
672	10
688	17
704	10
720	12
736	16
752	14
768	12
784	14
800	9
816	11
832	5
848	12
864	10
880	10
896	11
912	8
928	15
944	6
960	8
976	7
992	14
1008	9
1024	12
1040	13
1056	13
1072	10
1088	16
1104	10
1120	13
1136	11
1152	14
1168	12
1184	20
1200	19
1216	20
1232	22
1248	20
1264	15
1280	12
1296	16
1312	14
1328	16
1344	11
1360	8
1376	14
1392	9
1408	6
1424	19
1440	16
1456	16
1472	6
1488	10
1504	13
1520	11
1536	10
1552	14
1568	14
1584	15
1600	15
1616	11
1632	8
1648	8
1664	8
1680	12
1696	23
1712	15
1728	41
1744	47
1760	91
1776	136
1792	170
1808	220
1824	327
1840	334
1856	379
1872	386
1888	396
1904	345
1920	397
1936	382
1952	385
1968	354
1984	339
2000	401
2016	423
2032	537
2048	751
2064	886
2080	1037
2096	1211
2112	1174
2128	1188
2144	1077
2160	1007
2176	1113
2192	1304
2208	1427
2224	1725
2240	1824
2256	1970
2272	1903
2288	1693
2304	1542
2320	1262
2336	1095
2352	917
2368	874
2384	804
2400	786
2416	779
2432	649
2448	554
2464	508
2480	424
2496	350
2512	303
2528	261
2544	243
2560	212
2576	178
2592	188
2608	147
2624	157
2640	134
2656	140
2672	132
2688	133
2704	104
2720	119
2736	103
2752	96
2768	106
2784	88
2800	90
2816	79
2832	83
2848	96
2864	73
2880	80
2896	85
2912	72
2928	74
2944	74
2960	79
2976	70
2992	77
3008	74
3024	70
3040	69
3056	59
3072	76
3088	56
3104	66
3120	57
3136	72
3152	58
3168	62
3184	62
3200	63
3216	61
3232	52
3248	75
3264	61
3280	69
3296	67
3312	67
3328	59
3344	65
3360	68
3376	66
3392	69
3408	57
3424	57
3440	52
3456	67
3472	61
3488	58
3504	57
3520	65
3536	55
3552	55
3568	53
3584	55
3600	57
3616	56
3632	62
3648	54
3664	67
3680	65
3696	57
3712	69
3728	55
3744	51
3760	66
3776	58
3792	51
3808	69
3824	63
3840	72
3856	69
3872	76
3888	60
3904	44
3920	50
3936	56
3952	62
3968	64
3984	66
4000	68
4016	44
4032	60
4048	64
4064	66
4080	69
4096	52
4112	73
4128	79
4144	86
4160	78
4176	75
4192	95
4208	82
4224	71
4240	63
4256	78
4272	69
4288	77
4304	61
4320	55
4336	70
4352	68
4368	84
4384	62
4400	64
4416	69
4432	58
4448	74
4464	48
4480	63
4496	65
4512	70
4528	65
4544	62
4560	62
4576	62
4592	70
4608	77
4624	62
4640	60
4656	67
4672	54
4688	83
4704	72
4720	71
4736	67
4752	85
4768	92
4784	87
4800	75
4816	59
4832	76
4848	86
4864	67
4880	81
4896	80
4912	92
4928	82
4944	82
4960	85
4976	86
4992	100
5008	121
5024	94
5040	85
5056	130
5072	122
5088	134
5104	182
5120	165
5136	207
5152	275
5168	278
5184	301
5200	238
5216	211
5232	189
5248	173
5264	132
5280	122
5296	99
5312	95
5328	99
5344	92
5360	86
5376	96
5392	92
5408	104
5424	69
5440	95
5456	95
5472	81
5488	77
5504	91
5520	101
5536	107
5552	97
5568	80
5584	88
5600	87
5616	82
5632	95
5648	102
5664	107
5680	93
5696	110
5712	85
5728	95
5744	103
5760	95
5776	101
5792	90
5808	82
5824	95
5840	113
5856	78
5872	88
5888	83
5904	83
5920	105
5936	105
5952	76
5968	106
5984	97
6000	95
6016	106
6032	116
6048	98
6064	75
6080	104
6096	104
6112	85
6128	102
6144	110
6160	88
6176	94
6192	107
6208	107
6224	101
6240	102
6256	95
6272	90
6288	103
6304	107
6320	83
6336	100
6352	107
6368	101
6384	104
6400	116
6416	126
6432	102
6448	90
6464	105
6480	78
6496	118
6512	111
6528	111
6544	117
6560	95
6576	115
6592	111
6608	110
6624	103
6640	110
6656	109
6672	118
6688	108
6704	108
6720	115
6736	107
6752	95
6768	95
6784	103
6800	75
6816	91
6832	105
6848	114
6864	100
6880	87
6896	90
6912	112
6928	87
6944	93
6960	103
6976	88
6992	94
7008	82
7024	120
7040	88
7056	93
7072	111
7088	103
7104	112
7120	112
7136	97
7152	108
7168	102
7184	106
7200	95
7216	89
7232	104
7248	92
7264	99
7280	101
7296	113
7312	84
7328	92
7344	102
7360	95
7376	100
7392	78
7408	89
7424	88
7440	104
7456	103
7472	73
7488	101
7504	87
7520	107
7536	88
7552	97
7568	91
7584	88
7600	113
7616	113
7632	85
7648	82
7664	90
7680	79
7696	99
7712	91
7728	96
7744	82
7760	92
7776	98
7792	82
7808	95
7824	86
7840	71
7856	78
7872	77
7888	84
7904	106
7920	95
7936	91
7952	74
7968	85
7984	84
8000	96
8016	90
8032	123
8048	126
8064	131
8080	149
8096	174
8112	148
8128	137
8144	131
8160	120
8176	86
8192	83
8208	88
8224	84
8240	100
8256	62
8272	92
8288	85
8304	90
8320	75
8336	77
8352	78
8368	82
8384	69
8400	77
8416	78
8432	70
8448	91
8464	74
8480	53
8496	72
8512	66
8528	66
8544	72
8560	65
8576	69
8592	54
8608	56
8624	61
8640	61
8656	65
8672	57
8688	64
8704	55
8720	59
8736	70
8752	48
8768	62
8784	56
8800	53
8816	62
8832	67
8848	55
8864	57
8880	60
8896	59
8912	56
8928	60
8944	60
8960	68
8976	58
8992	56
9008	59
9024	46
9040	66
9056	61
9072	53
9088	47
9104	41
9120	53
9136	46
9152	51
9168	40
9184	46
9200	48
9216	57
9232	51
9248	52
9264	52
9280	48
9296	48
9312	57
9328	48
9344	52
9360	41
9376	54
9392	50
9408	50
9424	44
9440	44
9456	46
9472	34
9488	44
9504	47
9520	45
9536	49
9552	55
9568	37
9584	49
9600	43
9616	57
9632	49
9648	51
9664	50
9680	38
9696	55
9712	43
9728	33
9744	34
9760	48
9776	33
9792	57
9808	41
9824	39
9840	41
9856	45
9872	42
9888	41
9904	36
9920	33
9936	37
9952	45
9968	42
9984	43
10000	25
10016	44
10032	47
10048	33
10064	31
10080	33
10096	30
10112	33
10128	34
10144	24
10160	33
10176	41
10192	28
10208	34
10224	38
10240	31
10256	45
10272	39
10288	33
10304	21
10320	29
10336	28
10352	29
10368	28
10384	30
10400	25
10416	30
10432	36
10448	35
10464	37
10480	38
10496	30
10512	25
10528	40
10544	31
10560	22
10576	29
10592	36
10608	28
10624	29
10640	32
10656	21
10672	19
10688	39
10704	25
10720	34
10736	29
10752	27
10768	30
10784	25
10800	29
10816	30
10832	38
10848	28
10864	25
10880	23
10896	22
10912	28
10928	28
10944	22
10960	35
10976	20
10992	21
11008	23
11024	26
11040	32
11056	15
11072	24
11088	35
11104	23
11120	25
11136	23
11152	24
11168	17
11184	19
11200	25
11216	19
11232	24
11248	27
11264	26
11280	11
11296	24
11312	21
11328	16
11344	23
11360	36
11376	25
11392	27
11408	20
11424	29
11440	24
11456	21
11472	30
11488	20
11504	19
11520	32
11536	19
11552	31
11568	17
11584	28
11600	17
11616	26
11632	20
11648	21
11664	22
11680	15
11696	20
11712	21
11728	26
11744	16
11760	19
11776	23
11792	20
11808	23
11824	17
11840	14
11856	16
11872	28
11888	12
11904	18
11920	15
11936	16
11952	17
11968	17
11984	16
12000	17
12016	19
12032	21
12048	15
12064	16
12080	20
12096	16
12112	13
12128	16
12144	7
12160	16
12176	12
12192	17
12208	28
12224	14
12240	13
12256	30
12272	23
12288	15
12304	17
12320	10
12336	12
12352	18
12368	18
12384	21
12400	15
12416	16
12432	16
12448	21
12464	7
12480	14
12496	8
12512	18
12528	9
12544	17
12560	16
12576	15
12592	16
12608	17
12624	13
12640	21
12656	19
12672	11
12688	21
12704	14
12720	14
12736	11
12752	8
12768	16
12784	6
12800	12
12816	13
12832	17
12848	10
12864	11
12880	14
12896	8
12912	15
12928	13
12944	20
12960	10
12976	10
12992	13
13008	14
13024	15
13040	7
13056	10
13072	15
13088	16
13104	13
13120	13
13136	12
13152	14
13168	11
13184	16
13200	10
13216	11
13232	11
13248	23
13264	12
13280	16
13296	10
13312	9
13328	12
13344	9
13360	12
13376	13
13392	5
13408	11
13424	9
13440	4
13456	11
13472	10
13488	12
13504	6
13520	13
13536	21
13552	10
13568	14
13584	13
13600	12
13616	17
13632	10
13648	16
13664	15
13680	16
13696	27
13712	21
13728	16
13744	15
13760	15
13776	9
13792	11
13808	13
13824	12
13840	9
13856	10
13872	18
13888	12
13904	10
13920	16
13936	14
13952	10
13968	14
13984	13
14000	19
14016	13
14032	12
14048	8
14064	6
14080	7
14096	5
14112	20
14128	12
14144	8
14160	10
14176	17
14192	25
14208	48
14224	71
14240	115
14256	172
14272	217
14288	283
14304	283
14320	316
14336	339
14352	376
14368	356
14384	408
14400	403
14416	360
14432	343
14448	357
14464	355
14480	386
14496	484
14512	664
14528	843
14544	1066
14560	1149
14576	1216
14592	1180
14608	1147
14624	1082
14640	1060
14656	1153
14672	1346
14688	1599
14704	1746
14720	1892
14736	1903
14752	1827
14768	1630
14784	1392
14800	1138
14816	979
14832	878
14848	798
14864	803
14880	819
14896	720
14912	643
14928	546
14944	429
14960	386
14976	314
14992	286
15008	238
15024	222
15040	198
15056	182
15072	148
15088	166
15104	148
15120	117
15136	156
15152	112
15168	99
15184	113
15200	107
15216	103
15232	110
15248	92
15264	86
15280	88
15296	85
15312	75
15328	90
15344	77
15360	69
15376	77
15392	73
15408	61
15424	68
15440	70
15456	74
15472	63
15488	51
15504	80
15520	72
15536	60
15552	61
15568	59
15584	70
15600	51
15616	60
15632	60
15648	78
15664	58
15680	68
15696	60
15712	74
15728	79
15744	67
15760	58
15776	73
15792	75
15808	61
15824	67
15840	56
15856	50
15872	49
15888	65
15904	50
15920	57
15936	45
15952	67
15968	50
15984	67
16000	70
16016	63
16032	59
16048	63
16064	56
16080	66
16096	60
16112	61
16128	61
16144	48
16160	60
16176	53
16192	62
16208	70
16224	55
16240	57
16256	61
16272	63
16288	58
16304	56
16320	75
16336	53
16352	57
16368	60
16384	69
16400	63
16416	64
16432	55
16448	61
16464	72
16480	51
16496	76
16512	65
16528	65
16544	84
16560	77
16576	67
16592	91
16608	70
16624	88
16640	87
16656	79
16672	69
16688	72
16704	54
16720	71
16736	56
16752	70
16768	54
16784	67
16800	69
16816	66
16832	60
16848	63
16864	64
16880	60
16896	63
16912	56
16928	76
16944	77
16960	85
16976	72
16992	65
17008	75
17024	73
17040	65
17056	73
17072	69
17088	76
17104	68
17120	70
17136	77
17152	84
17168	81
17184	95
17200	72
17216	90
17232	100
17248	90
17264	79
17280	80
17296	85
17312	78
17328	85
17344	88
17360	90
17376	89
17392	79
17408	88
17424	86
17440	82
17456	95
17472	96
17488	115
17504	101
17520	117
17536	82
17552	147
17568	133
17584	174
17600	199
17616	239
17632	242
17648	252
17664	285
17680	226
17696	192
17712	189
17728	135
17744	106
17760	101
17776	106
17792	86
17808	102
17824	73
17840	88
17856	87
17872	98
17888	86
17904	93
17920	87
17936	100
17952	88
17968	86
17984	83
18000	97
18016	91
18032	96
18048	106
18064	94
18080	91
18096	92
18112	89
18128	103
18144	100
18160	94
18176	93
18192	95
18208	93
18224	89
18240	117
18256	94
18272	94
18288	99
18304	112
18320	89
18336	95
18352	103
18368	96
18384	86
18400	91
18416	82
18432	117
18448	111
18464	110
18480	95
18496	105
18512	90
18528	86
18544	104
18560	92
18576	81
18592	91
18608	103
18624	78
18640	98
18656	106
18672	93
18688	108
18704	98
18720	99
18736	107
18752	104
18768	115
18784	98
18800	104
18816	102
18832	115
18848	106
18864	112
18880	100
18896	122
18912	106
18928	114
18944	84
18960	88
18976	110
18992	103
19008	82
19024	93
19040	113
19056	86
19072	103
19088	96
19104	96
19120	100
19136	92
19152	112
19168	107
19184	96
19200	120
19216	85
19232	91
19248	104
19264	129
19280	106
19296	96
19312	105
19328	100
19344	97
19360	96
19376	100
19392	101
19408	87
19424	94
19440	91
19456	116
19472	108
19488	100
19504	98
19520	92
19536	94
19552	116
19568	90
19584	95
19600	103
19616	90
19632	84
19648	103
19664	99
19680	98
19696	107
19712	85
19728	91
19744	90
19760	111
19776	87
19792	89
19808	79
19824	88
19840	94
19856	105
19872	96
19888	94
19904	93
19920	84
19936	78
19952	76
19968	75
19984	89
20000	102
20016	88
20032	78
20048	93
20064	109
20080	89
20096	88
20112	95
20128	84
20144	91
20160	94
20176	93
20192	104
20208	94
20224	96
20240	74
20256	66
20272	78
20288	81
20304	78
20320	83
20336	94
20352	98
20368	80
20384	73
20400	82
20416	92
20432	76
20448	100
20464	82
20480	97
20496	105
20512	134
20528	143
20544	144
20560	174
20576	162
20592	161
20608	163
20624	128
20640	110
20656	99
20672	71
20688	79
20704	94
20720	84
20736	69
