"Time differences (ps)"	"Counts per bin"
-50000	158
-49900	116
-49800	136
-49700	129
-49600	143
-49500	133
-49400	131
-49300	132
-49200	109
-49100	132
-49000	122
-48900	134
-48800	123
-48700	129
-48600	123
-48500	129
-48400	142
-48300	123
-48200	121
-48100	127
-48000	133
-47900	127
-47800	138
-47700	123
-47600	109
-47500	112
-47400	131
-47300	137
-47200	132
-47100	119
-47000	125
-46900	121
-46800	112
-46700	126
-46600	104
-46500	107
-46400	120
-46300	127
-46200	132
-46100	159
-46000	133
-45900	134
-45800	126
-45700	139
-45600	130
-45500	129
-45400	122
-45300	127
-45200	122
-45100	123
-45000	126
-44900	135
-44800	132
-44700	129
-44600	122
-44500	129
-44400	125
-44300	113
-44200	109
-44100	132
-44000	118
-43900	110
-43800	122
-43700	119
-43600	122
-43500	125
-43400	117
-43300	136
-43200	120
-43100	117
-43000	115
-42900	137
-42800	114
-42700	132
-42600	127
-42500	128
-42400	124
-42300	141
-42200	131
-42100	111
-42000	126
-41900	131
-41800	127
-41700	131
-41600	111
-41500	123
-41400	134
-41300	109
-41200	107
-41100	115
-41000	119
-40900	122
-40800	117
-40700	123
-40600	128
-40500	118
-40400	114
-40300	130
-40200	116
-40100	141
-40000	123
-39900	118
-39800	120
-39700	105
-39600	112
-39500	122
-39400	127
-39300	129
-39200	130
-39100	115
-39000	127
-38900	123
-38800	122
-38700	113
-38600	124
-38500	109
-38400	108
-38300	135
-38200	127
-38100	136
-38000	145
-37900	133
-37800	127
-37700	124
-37600	131
-37500	150
-37400	118
-37300	134
-37200	121
-37100	133
-37000	118
-36900	141
-36800	130
-36700	154
-36600	124
-36500	137
-36400	133
-36300	129
-36200	143
-36100	119
-36000	113
-35900	131
-35800	134
-35700	131
-35600	151
-35500	111
-35400	112
-35300	117
-35200	127
-35100	136
-35000	116
-34900	132
-34800	126
-34700	126
-34600	111
-34500	112
-34400	135
-34300	116
-34200	116
-34100	122
-34000	116
-33900	129
-33800	140
-33700	153
-33600	119
-33500	115
-33400	119
-33300	117
-33200	132
-33100	130
-33000	120
-32900	127
-32800	113
-32700	137
-32600	142
-32500	118
-32400	127
-32300	119
-32200	124
-32100	117
-32000	124
-31900	130
-31800	116
-31700	138
-31600	128
