"Time differences (ps)"	"Counts per bin"
-50000	6678
-49900	6730
-49800	6662
-49700	6714
-49600	6855
-49500	6786
-49400	6703
-49300	6779
-49200	6697
-49100	6793
-49000	6647
-48900	6777
-48800	6715
-48700	6706
-48600	6877
-48500	6673
-48400	6744
-48300	6630
-48200	6779
-48100	6680
-48000	6690
-47900	6660
-47800	6706
-47700	6800
-47600	6744
-47500	6756
-47400	6900
-47300	6681
-47200	6793
-47100	6744
-47000	6884
-46900	6677
-46800	6798
-46700	6868
-46600	6775
-46500	6688
-46400	6685
-46300	6709
-46200	6816
-46100	6574
-46000	6727
-45900	6708
-45800	6729
-45700	6705
-45600	6862
-45500	6672
-45400	6823
-45300	6762
-45200	6814
-45100	6882
-45000	6751
-44900	6725
-44800	6869
-44700	6739
-44600	6584
-44500	6954
-44400	6657
-44300	6859
-44200	6803
-44100	6738
-44000	6781
-43900	6586
-43800	6820
-43700	6723
-43600	6711
-43500	6873
-43400	6764
-43300	6797
-43200	6611
-43100	6796
-43000	6694
-42900	6738
-42800	6708
-42700	6691
-42600	6750
-42500	6761
-42400	6610
-42300	6872
-42200	6822
-42100	6716
-42000	6794
-41900	6669
-41800	6694
-41700	6794
-41600	6752
-41500	6697
-41400	6646
-41300	6784
-41200	6674
-41100	6812
-41000	6725
-40900	6711
-40800	6666
-40700	6753
-40600	6858
-40500	6733
-40400	6679
-40300	6762
-40200	6708
-40100	6709
-40000	6895
-39900	6913
-39800	6788
-39700	6811
-39600	6697
-39500	6677
-39400	6652
-39300	6539
-39200	6758
-39100	6702
-39000	6701
-38900	6724
-38800	6847
-38700	6687
-38600	6841
-38500	6649
-38400	6861
-38300	6801
-38200	6901
-38100	6764
-38000	6781
-37900	6792
-37800	6776
-37700	6859
-37600	6919
-37500	6637
-37400	6799
-37300	6761
-37200	6808
-37100	6908
-37000	6785
-36900	6776
-36800	6711
-36700	6635
-36600	6642
-36500	6823
-36400	6628
-36300	6731
-36200	6708
-36100	6884
-36000	6771
-35900	6718
-35800	6750
-35700	6863
-35600	6859
-35500	6711
-35400	6768
-35300	6682
-35200	6688
-35100	6723
-35000	6744
-34900	6670
-34800	6867
-34700	6901
-34600	6699
-34500	6731
-34400	6828
-34300	6702
-34200	6820
-34100	6836
-34000	6776
-33900	6707
-33800	6826
-33700	6716
-33600	6746
-33500	6833
-33400	6775
-33300	6835
-33200	6788
-33100	6762
-33000	6977
-32900	6878
-32800	6887
-32700	6709
-32600	6714
-32500	6657
-32400	6772
-32300	6842
-32200	6746
-32100	6784
-32000	6762
-31900	6864
-31800	6664
-31700	6764
-31600	6746
-31500	6716
-31400	6806
-31300	6753
-31200	6785
-31100	6698
-31000	6782
-30900	6784
-30800	6809
-30700	6874
-30600	6652
-30500	6765
-30400	6748
-30300	6799
-30200	6737
-30100	6825
-30000	6779
-29900	6736
-29800	6911
-29700	6795
-29600	6797
-29500	6658
-29400	6772
-29300	6699
-29200	6808
-29100	6632
-29000	6821
-28900	6858
-28800	6755
-28700	6737
-28600	6756
