"Time differences (ps)"	"Counts per bin"
-50000	87520
-49900	87432
-49800	87916
-49700	87071
-49600	87642
-49500	87350
-49400	87753
-49300	87880
-49200	88175
-49100	87614
-49000	88033
-48900	87305
-48800	87699
-48700	87876
-48600	88061
-48500	88451
-48400	88437
-48300	88085
-48200	89067
-48100	87233
-48000	87920
-47900	87663
-47800	87700
-47700	87876
-47600	87603
-47500	87987
-47400	87520
-47300	88219
-47200	88038
-47100	87787
-47000	88130
-46900	87974
-46800	88079
-46700	87953
-46600	88320
-46500	88137
-46400	88148
-46300	87969
-46200	87643
-46100	87910
-46000	88363
-45900	88694
-45800	88418
-45700	88361
-45600	87828
-45500	88170
-45400	88466
-45300	87885
-45200	88275
-45100	87865
-45000	88319
-44900	87807
-44800	88042
-44700	88359
-44600	87937
-44500	87656
-44400	88105
-44300	88136
-44200	88355
-44100	88008
-44000	87852
-43900	87253
-43800	88302
-43700	88269
-43600	87804
-43500	88323
-43400	88237
-43300	88044
-43200	88657
-43100	88086
-43000	88238
-42900	88240
-42800	87864
-42700	88056
-42600	87965
-42500	88629
-42400	87727
-42300	87721
-42200	88623
-42100	87801
-42000	88629
-41900	88168
-41800	88230
-41700	88322
-41600	88601
-41500	87781
-41400	88121
-41300	88084
-41200	88238
-41100	87607
-41000	88308
-40900	88264
-40800	88111
-40700	88381
-40600	88239
-40500	88115
-40400	88291
-40300	88049
-40200	88173
-40100	88325
-40000	88234
-39900	88015
-39800	88545
-39700	88370
-39600	88284
-39500	88697
-39400	88202
-39300	88093
-39200	88108
-39100	88218
-39000	87988
-38900	88642
-38800	88046
-38700	88037
-38600	88290
-38500	87724
-38400	88217
-38300	87725
-38200	88487
-38100	87969
-38000	88241
-37900	87641
-37800	88336
-37700	88067
-37600	88423
-37500	88307
-37400	88119
-37300	88272
-37200	87792
-37100	88184
-37000	87707
-36900	88591
-36800	88445
-36700	87553
-36600	88588
-36500	88274
-36400	88470
-36300	87569
-36200	88411
-36100	88554
-36000	88074
-35900	88036
-35800	88559
-35700	87615
-35600	88643
-35500	88428
-35400	88217
-35300	87806
-35200	88263
-35100	88441
-35000	87866
-34900	88395
-34800	87780
-34700	88148
-34600	88295
-34500	88215
-34400	88266
-34300	87613
-34200	87945
-34100	88259
-34000	88340
-33900	87514
-33800	88222
-33700	88126
-33600	88130
-33500	87775
-33400	88910
-33300	88436
-33200	88497
-33100	88046
-33000	88259
-32900	88674
-32800	88747
-32700	88212
-32600	88136
-32500	88601
-32400	87887
-32300	88427
-32200	88743
-32100	88932
-32000	88632
-31900	88207
-31800	88426
-31700	88442
-31600	88592
-31500	88231
-31400	88474
-31300	87881
-31200	88200
-31100	88442
-31000	88220
-30900	88736
-30800	87752
-30700	87910
-30600	88177
-30500	88204
-30400	88662
-30300	88563
-30200	88622
-30100	88708
-30000	88454
-29900	88930
-29800	88292
-29700	88773
-29600	88172
-29500	87985
-29400	88115
-29300	88563
-29200	88124
-29100	88336
-29000	88423
-28900	88174
-28800	89152
-28700	88574
-28600	88194
-28500	88596
-28400	88087
-28300	88375
-28200	88511
-28100	88057
-28000	88280
-27900	88720
-27800	88326
-27700	88590
-27600	88251
-27500	89108
-27400	88292
-27300	88540
-27200	88502
-27100	88343
-27000	88554
-26900	88611
-26800	88078
-26700	88939
-26600	88706
-26500	88738
-26400	87999
-26300	88460
-26200	88547
-26100	88160
-26000	88796
-25900	89345
-25800	88285
-25700	88886
-25600	88244
-25500	88451
-25400	88233
-25300	88024
-25200	88322
-25100	88437
-25000	89077
-24900	88557
-24800	88313
-24700	88617
-24600	88208
-24500	88692
-24400	88098
-24300	88237
-24200	88300
-24100	88639
-24000	88599
-23900	88467
-23800	88262
-23700	89068
-23600	88560
-23500	88793
-23400	88548
-23300	89061
-23200	88716
-23100	88284
-23000	88283
-22900	88336
-22800	88802
-22700	88290
-22600	88533
-22500	88999
-22400	88707
-22300	88653
-22200	88960
-22100	88551
-22000	88267
-21900	88915
-21800	88330
-21700	88706
-21600	88636
-21500	88345
-21400	88537
-21300	88122
-21200	88827
-21100	88359
-21000	88226
-20900	88281
-20800	88670
-20700	88687
-20600	88154
-20500	88898
-20400	89123
-20300	88571
-20200	88055
-20100	88354
-20000	88594
-19900	88607
-19800	88363
-19700	88600
-19600	88696
-19500	88707
-19400	88675
-19300	88760
-19200	88620
-19100	88793
-19000	88063
-18900	88890
-18800	88358
-18700	88604
-18600	88692
-18500	88283
-18400	88892
-18300	88262
-18200	88371
-18100	88478
-18000	88762
-17900	88822
-17800	88485
-17700	88414
-17600	88925
-17500	88268
-17400	88664
-17300	88569
-17200	88122
-17100	88790
-17000	89149
-16900	88499
-16800	88735
-16700	88516
-16600	88570
-16500	89023
-16400	88528
-16300	88949
-16200	88556
-16100	88816
-16000	88485
-15900	88692
-15800	89168
-15700	88040
-15600	88935
-15500	88321
-15400	88544
-15300	89119
-15200	88055
-15100	88453
-15000	88518
-14900	88547
-14800	89023
-14700	88220
-14600	88864
-14500	89153
-14400	88737
-14300	88686
-14200	88280
-14100	87858
-14000	89112
-13900	88605
-13800	88940
-13700	88213
-13600	88389
-13500	88593
-13400	88936
-13300	88851
-13200	88024
-13100	88948
-13000	88555
-12900	88988
-12800	88484
-12700	88860
-12600	88074
-12500	88061
-12400	88850
-12300	88627
-12200	89021
-12100	88852
-12000	88720
-11900	88897
-11800	88280
-11700	88904
-11600	88627
-11500	88717
-11400	88572
-11300	88966
-11200	88760
-11100	88756
-11000	88593
-10900	88669
-10800	88408
-10700	88529
-10600	88928
-10500	88983
-10400	88534
-10300	88641
-10200	88239
-10100	88238
-10000	88889
-9900	89086
-9800	88784
-9700	88262
-9600	88376
-9500	88588
-9400	88795
-9300	88751
-9200	89138
-9100	88999
-9000	88780
-8900	89100
-8800	88655
-8700	88188
-8600	88638
-8500	88747
-8400	88701
-8300	88482
-8200	87715
-8100	88238
-8000	88595
-7900	88301
-7800	88292
-7700	88207
-7600	88328
-7500	88662
-7400	88635
-7300	88442
-7200	88716
-7100	88355
-7000	87855
-6900	88548
-6800	88340
-6700	88184
-6600	88404
-6500	88318
-6400	89119
-6300	88466
-6200	89280
-6100	88343
-6000	88210
-5900	88739
-5800	88467
-5700	88238
-5600	87919
-5500	87854
-5400	87922
-5300	87844
-5200	88142
-5100	88379
-5000	87659
-4900	87780
-4800	88086
-4700	88120
-4600	88138
-4500	87875
-4400	88140
-4300	88119
-4200	87931
-4100	87836
-4000	87455
-3900	87025
-3800	87142
-3700	86364
-3600	85272
-3500	85227
-3400	84469
-3300	82757
-3200	81654
-3100	79576
-3000	77640
-2900	75054
-2800	71611
-2700	68841
-2600	65474
-2500	61259
-2400	58916
-2300	57335
-2200	58752
-2100	61314
-2000	64669
-1900	68538
-1800	71861
-1700	74415
-1600	77437
-1500	79357
-1400	81193
-1300	83094
-1200	84078
-1100	84968
-1000	85862
-900	86516
-800	86618
-700	87191
-600	87699
-500	87383
-400	87402
-300	87123
-200	88221
-100	87865
0	88083
100	87655
200	87765
300	88035
400	88596
500	88441
600	88441
700	88389
800	88458
900	87913
1000	88415
1100	88326
1200	88107
1300	88338
1400	88851
1500	87643
1600	88332
1700	88489
1800	88357
1900	88650
2000	88767
2100	88924
2200	88801
