"Time differences (ps)"	"Counts per bin"
-10000	3511
-9980	3518
-9960	3540
-9940	3497
-9920	3549
-9900	3529
-9880	3477
-9860	3497
-9840	3408
-9820	3590
-9800	3467
-9780	3409
-9760	3469
-9740	3355
-9720	3464
-9700	3522
-9680	3482
-9660	3564
-9640	3564
-9620	3542
-9600	3444
-9580	3444
-9560	3521
-9540	3501
-9520	3405
-9500	3361
-9480	3375
-9460	3538
-9440	3516
-9420	3435
-9400	3451
-9380	3493
-9360	3413
-9340	3411
-9320	3460
-9300	3429
-9280	3477
-9260	3480
-9240	3430
-9220	3534
-9200	3497
-9180	3466
-9160	3361
-9140	3455
-9120	3486
-9100	3437
-9080	3404
-9060	3439
-9040	3435
-9020	3550
-9000	3546
-8980	3515
-8960	3511
-8940	3537
-8920	3399
-8900	3384
-8880	3511
-8860	3425
-8840	3457
-8820	3432
-8800	3490
-8780	3481
-8760	3442
-8740	3500
-8720	3512
-8700	3489
-8680	3505
-8660	3488
-8640	3553
-8620	3526
-8600	3517
-8580	3455
-8560	3446
-8540	3509
-8520	3490
-8500	3351
-8480	3462
-8460	3466
-8440	3448
-8420	3524
-8400	3470
-8380	3412
-8360	3486
-8340	3379
-8320	3532
-8300	3524
-8280	3446
-8260	3567
-8240	3511
-8220	3446
-8200	3434
-8180	3418
-8160	3461
-8140	3500
-8120	3521
-8100	3517
-8080	3614
-8060	3508
-8040	3491
-8020	3519
-8000	3418
-7980	3569
-7960	3452
-7940	3454
-7920	3402
-7900	3539
-7880	3483
-7860	3503
-7840	3541
-7820	3469
-7800	3443
-7780	3493
-7760	3448
-7740	3531
-7720	3373
-7700	3541
-7680	3402
-7660	3489
-7640	3389
-7620	3511
-7600	3493
-7580	3578
-7560	3491
-7540	3527
-7520	3561
-7500	3460
-7480	3523
-7460	3541
-7440	3435
-7420	3497
-7400	3472
-7380	3531
-7360	3522
-7340	3426
-7320	3488
-7300	3533
-7280	3444
-7260	3509
-7240	3517
-7220	3628
-7200	3385
-7180	3432
-7160	3479
-7140	3459
-7120	3620
-7100	3554
-7080	3453
-7060	3548
-7040	3456
-7020	3494
-7000	3575
-6980	3463
-6960	3469
-6940	3452
-6920	3448
-6900	3503
-6880	3502
-6860	3449
-6840	3415
-6820	3571
-6800	3544
-6780	3421
-6760	3468
-6740	3495
-6720	3407
-6700	3542
-6680	3472
-6660	3453
-6640	3419
-6620	3449
-6600	3495
-6580	3422
-6560	3453
-6540	3504
-6520	3529
-6500	3508
-6480	3351
-6460	3485
-6440	3451
-6420	3509
-6400	3525
-6380	3564
-6360	3594
-6340	3545
-6320	3514
-6300	3480
-6280	3422
-6260	3448
-6240	3495
-6220	3436
-6200	3597
-6180	3484
-6160	3521
-6140	3413
-6120	3499
-6100	3456
-6080	3473
-6060	3535
-6040	3426
-6020	3585
-6000	3551
-5980	3473
-5960	3454
-5940	3459
-5920	3517
-5900	3540
-5880	3521
-5860	3501
-5840	3573
-5820	3560
-5800	3576
-5780	3441
-5760	3553
-5740	3489
-5720	3473
-5700	3512
-5680	3593
-5660	3418
-5640	3528
-5620	3492
-5600	3478
-5580	3549
-5560	3471
-5540	3459
-5520	3458
-5500	3447
-5480	3579
-5460	3491
-5440	3413
-5420	3471
-5400	3505
-5380	3500
-5360	3554
-5340	3527
-5320	3423
-5300	3462
-5280	3445
-5260	3409
-5240	3524
-5220	3461
-5200	3469
-5180	3560
-5160	3478
-5140	3406
-5120	3557
-5100	3388
-5080	3491
-5060	3611
-5040	3476
-5020	3559
-5000	3504
-4980	3454
-4960	3501
-4940	3504
-4920	3558
-4900	3506
-4880	3541
-4860	3485
-4840	3484
-4820	3558
-4800	3519
-4780	3540
-4760	3528
-4740	3514
-4720	3484
-4700	3406
-4680	3606
-4660	3474
-4640	3557
-4620	3544
-4600	3449
-4580	3473
-4560	3445
-4540	3495
-4520	3514
-4500	3370
-4480	3432
-4460	3486
-4440	3489
-4420	3430
-4400	3415
-4380	3478
-4360	3501
-4340	3481
-4320	3584
-4300	3468
-4280	3465
-4260	3569
-4240	3467
-4220	3508
-4200	3511
-4180	3519
-4160	3455
-4140	3563
-4120	3451
-4100	3378
-4080	3570
-4060	3459
-4040	3464
-4020	3592
-4000	3566
-3980	3484
-3960	3383
-3940	3567
-3920	3530
-3900	3448
-3880	3508
-3860	3493
-3840	3473
-3820	3455
-3800	3507
-3780	3500
-3760	3407
-3740	3471
-3720	3488
-3700	3639
-3680	3483
-3660	3518
-3640	3553
-3620	3436
-3600	3421
-3580	3380
-3560	3556
-3540	3542
-3520	3497
-3500	3521
-3480	3502
-3460	3544
-3440	3568
-3420	3488
-3400	3493
-3380	3515
-3360	3489
-3340	3564
-3320	3422
-3300	3445
-3280	3478
-3260	3482
-3240	3583
-3220	3484
-3200	3534
-3180	3569
-3160	3426
-3140	3550
-3120	3567
-3100	3447
-3080	3428
-3060	3546
-3040	3486
-3020	3422
-3000	3528
-2980	3567
-2960	3534
-2940	3460
-2920	3505
-2900	3473
-2880	3500
-2860	3550
-2840	3534
-2820	3509
-2800	3655
-2780	3491
-2760	3499
-2740	3487
-2720	3513
-2700	3537
-2680	3396
-2660	3479
-2640	3569
-2620	3543
-2600	3449
-2580	3439
-2560	3471
-2540	3508
-2520	3481
-2500	3531
-2480	3503
-2460	3477
-2440	3583
-2420	3462
-2400	3502
-2380	3529
-2360	3492
-2340	3543
-2320	3437
-2300	3610
-2280	3569
-2260	3444
-2240	3439
-2220	3421
-2200	3421
-2180	3559
-2160	3410
-2140	3484
-2120	3607
-2100	3489
-2080	3387
-2060	3493
-2040	3581
-2020	3526
-2000	3538
-1980	3529
-1960	3504
-1940	3467
-1920	3566
-1900	3548
-1880	3460
-1860	3555
-1840	3569
-1820	3467
-1800	3490
-1780	3478
-1760	3381
-1740	3485
-1720	3388
-1700	3510
-1680	3507
-1660	3540
-1640	3451
-1620	3518
-1600	3571
-1580	3449
-1560	3473
-1540	3460
-1520	3439
-1500	3588
-1480	3516
-1460	3525
-1440	3513
-1420	3497
-1400	3422
-1380	3403
-1360	3446
-1340	3535
-1320	3573
-1300	3449
-1280	3544
-1260	3458
-1240	3560
-1220	3399
-1200	3529
-1180	3464
-1160	3405
-1140	3540
-1120	3537
-1100	3578
-1080	3545
-1060	3590
-1040	3407
-1020	3580
-1000	3463
-980	3448
-960	3482
-940	3496
-920	3423
-900	3461
-880	3376
-860	3598
-840	3546
-820	3545
-800	3468
-780	3527
-760	3471
-740	3605
-720	3598
-700	3489
-680	3506
-660	3617
-640	3496
-620	3483
-600	3367
-580	3459
-560	3536
-540	3460
-520	3499
-500	3583
-480	3633
-460	3526
-440	3485
-420	3451
-400	3558
-380	3446
-360	3557
-340	3460
-320	3511
-300	3568
-280	3514
-260	3533
-240	3435
-220	3494
-200	3530
-180	3455
-160	3483
-140	3441
-120	3554
-100	3495
-80	3471
-60	3509
-40	3436
-20	3591
0	3465
20	3440
40	3419
60	3502
80	3434
100	3494
120	3518
140	3436
160	3521
180	3560
200	3513
220	3510
240	3474
260	3413
280	3488
300	3294
320	3502
340	3434
360	3444
380	3341
400	3503
420	3500
440	3532
460	3446
480	3454
500	3389
520	3546
540	3483
560	3479
580	3568
600	3467
620	3485
640	3453
660	3544
680	3450
700	3542
720	3568
740	3450
760	3425
780	3479
800	3490
820	3511
840	3367
860	3463
880	3421
900	3562
920	3424
940	3508
960	3494
980	3430
1000	3409
1020	3386
1040	3492
1060	3527
1080	3514
1100	3493
1120	3519
1140	3375
1160	3501
1180	3544
1200	3508
1220	3535
1240	3461
1260	3490
1280	3433
1300	3563
1320	3561
1340	3554
1360	3590
1380	3573
1400	3499
1420	3536
1440	3683
1460	3734
1480	3730
1500	3708
1520	3673
1540	3796
1560	3729
1580	3735
1600	3708
1620	3802
1640	3809
1660	3915
1680	3938
1700	4039
1720	4053
1740	4058
1760	4079
1780	4066
1800	4152
1820	4307
1840	4174
1860	4194
1880	4224
1900	4363
1920	4480
1940	4642
1960	4558
1980	4650
2000	4821
2020	4889
2040	5010
2060	5161
2080	5322
2100	5326
2120	5631
2140	5617
2160	5599
2180	5800
2200	5692
2220	5830
2240	5782
2260	5793
2280	5746
2300	5700
2320	5685
2340	5473
2360	5523
2380	5300
2400	5311
2420	5116
2440	5042
2460	5007
2480	4868
2500	4684
2520	4741
2540	4496
2560	4486
2580	4554
2600	4325
2620	4273
2640	4108
2660	4194
2680	4131
2700	4142
2720	4116
2740	3911
2760	4068
2780	4119
2800	3951
2820	3955
2840	3831
2860	3825
2880	3787
2900	3703
2920	3757
2940	3655
2960	3683
2980	3642
3000	3596
3020	3639
3040	3614
3060	3551
3080	3630
3100	3542
3120	3618
3140	3514
3160	3548
3180	3579
3200	3473
3220	3507
3240	3529
3260	3507
3280	3472
3300	3513
3320	3449
3340	3497
3360	3536
3380	3438
3400	3508
3420	3510
3440	3477
3460	3461
3480	3576
3500	3504
3520	3530
3540	3629
3560	3357
3580	3520
3600	3436
3620	3439
3640	3462
3660	3479
3680	3422
3700	3472
3720	3417
3740	3421
3760	3578
3780	3555
3800	3449
3820	3503
3840	3469
3860	3491
3880	3406
3900	3621
3920	3464
3940	3507
