"Time differences (ps)"	"Counts per bin"
-100000	21828
-99900	21589
-99800	21595
-99700	21696
-99600	22091
-99500	21556
-99400	21634
-99300	21897
-99200	21359
-99100	22084
-99000	21759
-98900	21996
-98800	21641
-98700	21754
-98600	21758
-98500	21802
-98400	21695
-98300	22073
-98200	21752
-98100	21792
-98000	21599
-97900	21778
-97800	21704
-97700	21789
-97600	21783
-97500	21647
-97400	21469
-97300	21886
-97200	22007
-97100	21937
-97000	21775
-96900	21625
-96800	21709
-96700	21896
-96600	21925
-96500	21626
-96400	21710
-96300	21584
-96200	21714
-96100	21590
-96000	21841
-95900	21696
-95800	21785
-95700	21557
-95600	21782
-95500	21686
-95400	21594
-95300	21692
-95200	21966
-95100	21705
-95000	21604
-94900	21711
-94800	21793
-94700	21448
-94600	21695
-94500	21635
-94400	21602
-94300	21913
-94200	21765
-94100	21706
-94000	21936
-93900	21878
-93800	21767
-93700	21902
-93600	21792
-93500	21507
-93400	21580
-93300	21975
-93200	21739
-93100	21725
-93000	21812
-92900	21568
-92800	21807
-92700	21690
-92600	21842
-92500	21810
-92400	21941
-92300	21768
-92200	21423
-92100	21703
-92000	21766
-91900	21554
-91800	21611
-91700	21818
-91600	21691
-91500	21683
-91400	21705
-91300	21583
-91200	21640
-91100	21634
-91000	21383
-90900	21816
-90800	21826
-90700	21596
-90600	21867
-90500	21814
-90400	21793
-90300	21671
-90200	21756
-90100	21791
-90000	21668
-89900	21941
-89800	21699
-89700	21753
-89600	21814
-89500	21621
-89400	21757
-89300	21753
-89200	21664
-89100	21389
-89000	21772
-88900	21657
-88800	21872
-88700	21839
-88600	21558
-88500	21467
-88400	21760
-88300	21693
-88200	21549
-88100	21888
-88000	21610
-87900	21779
-87800	21703
-87700	21657
-87600	21468
-87500	21904
-87400	22182
-87300	21705
-87200	21806
-87100	21988
-87000	21641
-86900	21716
-86800	21657
-86700	21505
-86600	21865
-86500	21556
-86400	21691
-86300	21649
-86200	21881
-86100	21524
-86000	21697
-85900	21587
-85800	21940
-85700	21442
-85600	21771
-85500	21449
-85400	21791
-85300	21852
-85200	21903
-85100	21805
-85000	21544
-84900	21487
-84800	21722
-84700	21687
-84600	21680
-84500	21935
-84400	21847
-84300	21810
-84200	21632
-84100	21649
-84000	21543
-83900	21774
-83800	21901
-83700	21871
-83600	21557
-83500	21468
-83400	21863
-83300	21723
-83200	21844
-83100	21664
-83000	21689
-82900	21690
-82800	21765
-82700	21613
-82600	21902
-82500	21811
-82400	21759
-82300	22052
-82200	21552
-82100	21875
-82000	21704
-81900	21909
-81800	21598
-81700	21597
-81600	21783
-81500	21758
-81400	21678
-81300	21847
-81200	21639
-81100	21611
-81000	21641
-80900	21412
-80800	21313
-80700	21783
-80600	21675
-80500	21513
-80400	22019
-80300	21698
-80200	21787
-80100	21709
-80000	21856
-79900	21890
-79800	21746
-79700	21867
-79600	21755
-79500	21828
-79400	21691
-79300	21681
-79200	21660
-79100	21751
-79000	21898
-78900	21999
-78800	21565
-78700	21983
-78600	21797
-78500	21650
-78400	21626
-78300	21833
-78200	21352
-78100	21710
-78000	21747
-77900	21818
-77800	21910
-77700	21884
-77600	21768
-77500	21839
-77400	21865
-77300	21893
-77200	21766
-77100	21736
-77000	21750
-76900	22111
-76800	21762
-76700	21718
-76600	21792
-76500	22043
-76400	22039
-76300	21551
-76200	21674
-76100	21749
-76000	21629
-75900	21519
-75800	21962
-75700	21646
-75600	22022
-75500	21608
-75400	21540
-75300	21560
-75200	21702
-75100	21787
-75000	21928
-74900	21613
-74800	21815
-74700	21870
-74600	22084
-74500	21627
-74400	21609
-74300	21533
-74200	21832
-74100	22184
-74000	21950
-73900	21793
-73800	21872
-73700	21858
-73600	21641
-73500	21853
-73400	21930
-73300	21597
-73200	21642
-73100	21609
-73000	21640
-72900	21917
-72800	21714
-72700	21718
-72600	21838
-72500	21814
-72400	21662
-72300	21646
-72200	21855
-72100	21873
-72000	21724
-71900	21962
-71800	21596
-71700	21493
-71600	21588
-71500	21864
-71400	21699
-71300	21840
-71200	21734
-71100	21692
-71000	21522
-70900	21935
-70800	21520
-70700	22057
-70600	21592
-70500	21811
-70400	21941
-70300	21733
-70200	22036
-70100	22034
-70000	21766
-69900	21758
-69800	21805
-69700	21664
