"Time differences (ps)"	"Counts per bin"
-50000	142
-49900	169
-49800	133
-49700	142
-49600	143
-49500	142
-49400	140
-49300	152
-49200	159
-49100	172
-49000	177
-48900	157
-48800	178
-48700	167
-48600	170
-48500	155
-48400	151
-48300	175
-48200	175
-48100	156
-48000	188
-47900	152
-47800	171
-47700	166
-47600	151
-47500	167
-47400	154
-47300	160
-47200	157
-47100	160
-47000	184
-46900	170
-46800	156
-46700	147
-46600	151
-46500	155
-46400	149
-46300	155
-46200	174
-46100	170
-46000	177
-45900	184
-45800	157
-45700	173
-45600	134
-45500	170
-45400	157
-45300	145
-45200	142
-45100	145
-45000	173
-44900	159
-44800	164
-44700	147
-44600	157
-44500	134
-44400	158
-44300	169
-44200	166
-44100	151
-44000	154
-43900	151
-43800	166
-43700	146
-43600	138
-43500	164
-43400	150
-43300	166
-43200	162
-43100	160
-43000	186
-42900	151
-42800	154
-42700	146
-42600	153
-42500	147
-42400	180
-42300	130
-42200	180
-42100	180
-42000	163
-41900	173
-41800	192
-41700	157
-41600	159
-41500	177
-41400	169
-41300	159
-41200	175
-41100	134
-41000	156
-40900	140
-40800	173
-40700	179
-40600	149
-40500	173
-40400	148
-40300	160
-40200	164
-40100	166
-40000	166
-39900	148
-39800	168
-39700	147
-39600	151
-39500	157
-39400	151
-39300	161
-39200	148
-39100	135
-39000	175
-38900	176
-38800	167
-38700	133
-38600	159
-38500	158
-38400	148
-38300	145
-38200	159
-38100	161
-38000	145
-37900	166
-37800	161
-37700	149
-37600	162
-37500	139
-37400	166
-37300	155
-37200	152
-37100	159
-37000	152
-36900	151
-36800	166
-36700	169
-36600	155
-36500	153
-36400	159
-36300	179
-36200	134
-36100	169
-36000	140
-35900	132
-35800	151
-35700	150
-35600	176
-35500	129
-35400	156
-35300	140
-35200	146
-35100	152
-35000	147
-34900	159
-34800	167
-34700	149
-34600	160
-34500	163
-34400	155
-34300	154
-34200	163
-34100	151
-34000	152
-33900	180
-33800	180
-33700	154
-33600	167
-33500	162
-33400	185
-33300	163
-33200	171
-33100	160
-33000	128
-32900	167
-32800	173
-32700	157
-32600	148
-32500	162
-32400	155
-32300	177
-32200	157
-32100	168
-32000	146
-31900	142
-31800	181
-31700	158
-31600	148
-31500	184
-31400	137
-31300	145
-31200	181
-31100	170
-31000	150
-30900	143
-30800	162
-30700	165
-30600	127
-30500	160
-30400	159
-30300	162
-30200	162
-30100	171
-30000	145
-29900	127
-29800	158
-29700	141
-29600	168
-29500	154
-29400	191
-29300	163
-29200	178
-29100	152
-29000	160
-28900	166
-28800	146
-28700	146
-28600	152
-28500	149
-28400	160
-28300	167
-28200	154
-28100	152
-28000	179
-27900	172
-27800	146
-27700	152
-27600	151
-27500	150
-27400	159
-27300	154
-27200	166
-27100	166
-27000	175
-26900	170
-26800	137
-26700	132
-26600	162
-26500	176
-26400	172
-26300	155
-26200	157
-26100	141
-26000	156
-25900	175
-25800	141
-25700	161
-25600	165
-25500	161
-25400	167
-25300	160
-25200	144
-25100	151
-25000	149
-24900	168
-24800	164
-24700	176
-24600	157
-24500	168
-24400	145
-24300	146
-24200	147
-24100	157
-24000	163
-23900	154
-23800	155
-23700	159
-23600	153
-23500	169
-23400	184
-23300	171
-23200	152
-23100	154
-23000	141
-22900	159
-22800	156
-22700	150
-22600	149
-22500	147
-22400	149
-22300	140
-22200	158
-22100	158
-22000	160
-21900	164
-21800	157
-21700	138
-21600	152
-21500	166
-21400	156
-21300	157
-21200	161
-21100	175
-21000	174
-20900	139
-20800	142
-20700	162
-20600	150
-20500	133
-20400	149
-20300	162
-20200	174
-20100	166
-20000	150
-19900	170
-19800	175
-19700	141
-19600	160
-19500	164
-19400	138
-19300	169
-19200	160
-19100	156
-19000	174
-18900	150
-18800	162
-18700	193
-18600	157
-18500	170
-18400	163
-18300	141
-18200	149
-18100	157
-18000	162
-17900	171
-17800	175
-17700	159
-17600	160
-17500	161
-17400	169
-17300	153
-17200	141
-17100	148
-17000	169
-16900	161
-16800	136
-16700	168
-16600	151
-16500	137
-16400	167
-16300	144
-16200	165
