"Time differences (ps)"	"Counts per bin"
-50000	61
-49900	69
-49800	52
-49700	56
-49600	58
-49500	60
-49400	57
-49300	72
-49200	69
-49100	64
-49000	70
-48900	61
-48800	84
-48700	61
-48600	63
-48500	61
-48400	53
-48300	63
-48200	71
-48100	62
-48000	66
-47900	67
-47800	67
-47700	66
-47600	54
-47500	59
-47400	56
-47300	64
-47200	64
-47100	67
-47000	65
-46900	80
-46800	66
-46700	56
-46600	64
-46500	62
-46400	64
-46300	71
-46200	81
-46100	71
-46000	80
-45900	79
-45800	66
-45700	60
-45600	59
-45500	58
-45400	72
-45300	60
-45200	52
-45100	62
-45000	57
-44900	64
-44800	56
-44700	61
-44600	61
-44500	59
-44400	64
-44300	69
-44200	77
-44100	74
-44000	65
-43900	63
-43800	78
-43700	58
-43600	43
-43500	66
-43400	63
-43300	77
-43200	68
-43100	57
-43000	81
-42900	75
-42800	55
-42700	56
-42600	54
-42500	61
-42400	68
-42300	58
-42200	72
-42100	74
-42000	64
-41900	70
-41800	82
-41700	62
-41600	63
-41500	70
-41400	70
-41300	63
-41200	70
-41100	53
-41000	61
-40900	55
-40800	59
-40700	72
-40600	54
-40500	74
-40400	55
-40300	68
-40200	56
-40100	68
-40000	70
-39900	65
-39800	77
-39700	70
-39600	59
-39500	57
-39400	57
-39300	75
-39200	57
-39100	50
-39000	65
-38900	69
-38800	59
-38700	61
-38600	68
-38500	64
-38400	61
-38300	61
-38200	59
-38100	74
-38000	60
-37900	66
-37800	75
-37700	58
-37600	65
-37500	62
-37400	72
-37300	70
-37200	62
-37100	58
-37000	57
-36900	62
-36800	72
-36700	68
-36600	68
-36500	64
-36400	71
-36300	73
-36200	61
-36100	70
-36000	54
-35900	61
-35800	51
-35700	62
-35600	77
-35500	63
-35400	69
-35300	56
-35200	57
-35100	65
-35000	49
-34900	61
-34800	64
-34700	53
-34600	67
-34500	54
-34400	62
-34300	62
-34200	82
-34100	55
-34000	66
-33900	70
-33800	54
-33700	60
-33600	67
-33500	66
-33400	78
-33300	65
-33200	60
-33100	62
-33000	37
-32900	73
-32800	62
-32700	58
-32600	63
-32500	69
-32400	62
-32300	93
-32200	68
-32100	74
-32000	58
-31900	62
-31800	72
-31700	67
-31600	67
-31500	69
-31400	59
-31300	52
-31200	76
-31100	75
-31000	69
-30900	53
-30800	68
-30700	67
-30600	46
-30500	58
-30400	66
-30300	73
-30200	73
-30100	77
-30000	54
-29900	42
-29800	65
-29700	57
-29600	60
-29500	59
-29400	81
-29300	62
-29200	67
-29100	59
-29000	61
-28900	75
-28800	64
-28700	57
-28600	50
-28500	63
-28400	62
-28300	69
-28200	53
-28100	61
-28000	75
-27900	73
-27800	52
-27700	50
-27600	61
-27500	56
-27400	59
-27300	65
-27200	67
-27100	67
-27000	68
-26900	74
-26800	53
-26700	57
-26600	69
-26500	77
-26400	82
-26300	57
-26200	59
-26100	57
-26000	53
-25900	71
-25800	61
-25700	59
-25600	66
-25500	65
-25400	71
-25300	76
-25200	61
-25100	62
-25000	67
-24900	60
-24800	58
-24700	72
-24600	72
-24500	79
-24400	56
-24300	60
-24200	45
-24100	63
-24000	65
-23900	53
-23800	55
-23700	66
-23600	51
-23500	72
-23400	74
-23300	65
-23200	51
-23100	60
-23000	53
-22900	59
-22800	48
-22700	49
-22600	64
-22500	69
-22400	70
-22300	58
-22200	61
-22100	57
-22000	67
-21900	64
-21800	69
-21700	55
-21600	57
-21500	60
-21400	52
-21300	46
-21200	55
-21100	72
-21000	66
-20900	53
-20800	52
-20700	73
-20600	67
-20500	62
-20400	50
-20300	57
-20200	65
-20100	66
-20000	64
-19900	71
-19800	62
-19700	55
-19600	60
-19500	61
-19400	58
-19300	75
-19200	68
-19100	56
-19000	66
-18900	60
-18800	58
-18700	81
-18600	64
-18500	70
-18400	61
-18300	56
-18200	62
-18100	64
-18000	56
-17900	69
-17800	89
-17700	63
-17600	64
-17500	67
-17400	72
-17300	51
-17200	58
-17100	53
-17000	68
-16900	69
-16800	55
-16700	67
-16600	57
-16500	48
-16400	65
-16300	59
-16200	59
-16100	62
-16000	66
-15900	49
-15800	63
-15700	62
-15600	62
-15500	58
-15400	48
-15300	54
-15200	54
-15100	56
-15000	61
-14900	60
-14800	74
-14700	62
-14600	69
-14500	55
-14400	45
-14300	64
-14200	66
-14100	68
-14000	67
-13900	72
-13800	51
-13700	70
-13600	56
-13500	53
-13400	78
-13300	51
-13200	66
-13100	58
-13000	60
-12900	57
-12800	69
-12700	65
-12600	72
-12500	58
-12400	68
-12300	57
-12200	65
-12100	64
-12000	70
-11900	58
-11800	70
-11700	63
-11600	73
-11500	56
-11400	64
-11300	63
-11200	70
-11100	63
-11000	60
-10900	74
-10800	77
-10700	56
-10600	73
-10500	78
-10400	65
-10300	59
-10200	57
-10100	70
-10000	55
-9900	44
-9800	55
-9700	54
-9600	59
-9500	66
-9400	61
-9300	68
-9200	72
-9100	54
-9000	55
-8900	72
-8800	63
-8700	68
-8600	59
-8500	72
-8400	65
-8300	63
-8200	53
-8100	70
-8000	75
-7900	56
-7800	54
-7700	52
-7600	69
-7500	62
-7400	63
-7300	63
-7200	84
-7100	68
-7000	62
-6900	78
-6800	72
-6700	58
-6600	59
-6500	62
-6400	74
-6300	72
-6200	65
-6100	58
-6000	69
-5900	57
-5800	46
-5700	73
-5600	85
-5500	66
-5400	54
-5300	66
-5200	58
-5100	49
-5000	66
-4900	75
-4800	53
-4700	61
-4600	60
-4500	53
-4400	70
-4300	53
-4200	65
-4100	58
-4000	53
-3900	68
-3800	56
-3700	72
-3600	61
-3500	58
-3400	69
-3300	72
-3200	61
-3100	72
-3000	61
-2900	66
-2800	65
-2700	75
-2600	58
-2500	57
-2400	76
-2300	58
-2200	69
-2100	59
-2000	62
-1900	66
-1800	52
-1700	79
-1600	59
-1500	62
-1400	77
-1300	61
-1200	55
-1100	60
-1000	59
-900	61
-800	66
-700	73
-600	58
-500	67
-400	72
-300	57
-200	70
-100	66
0	49
100	68
200	65
300	59
400	66
500	77
600	81
700	69
800	75
900	59
1000	64
1100	68
1200	65
1300	68
1400	59
1500	72
1600	80
1700	74
1800	76
1900	89
2000	86
2100	115
2200	109
2300	120
2400	107
2500	96
2600	84
2700	68
2800	71
2900	57
3000	80
3100	62
3200	75
3300	62
3400	73
3500	67
3600	64
3700	65
3800	60
3900	74
4000	62
4100	61
4200	63
4300	59
4400	58
4500	67
4600	72
4700	57
4800	73
4900	62
5000	82
5100	69
5200	69
5300	74
5400	65
5500	65
5600	59
5700	53
5800	59
5900	60
6000	62
6100	62
6200	66
6300	64
6400	70
6500	65
6600	53
6700	64
6800	77
6900	76
7000	48
7100	77
7200	64
7300	62
7400	62
7500	67
7600	50
7700	64
7800	69
7900	70
8000	71
8100	71
8200	70
8300	65
8400	57
8500	57
8600	63
8700	60
8800	70
8900	80
9000	64
9100	67
9200	58
9300	73
9400	67
9500	62
9600	69
9700	61
9800	64
9900	77
10000	66
10100	71
10200	44
10300	52
10400	54
10500	54
10600	43
10700	77
10800	66
10900	50
11000	60
11100	67
11200	74
11300	66
11400	95
11500	55
11600	66
11700	61
11800	65
11900	61
12000	59
12100	70
12200	56
12300	64
12400	65
12500	72
12600	65
12700	72
12800	57
12900	81
13000	69
13100	59
13200	64
13300	67
13400	61
13500	69
13600	64
13700	57
13800	92
13900	72
14000	67
14100	57
14200	60
14300	72
14400	59
14500	73
14600	73
14700	65
14800	47
14900	69
15000	72
15100	64
15200	55
15300	66
15400	57
15500	54
15600	56
15700	74
15800	65
15900	54
16000	65
16100	56
16200	75
16300	57
16400	51
16500	59
16600	67
16700	59
16800	58
16900	58
17000	79
17100	74
17200	56
17300	62
17400	57
17500	51
17600	65
17700	71
17800	60
17900	68
18000	73
18100	54
18200	65
18300	68
18400	55
18500	55
18600	60
18700	76
18800	74
18900	72
